"[count]","uHashT [GB]","cHashT [GB]","iHashT_u8h [GB]","iHashT_u8f [GB]","iHashT_u16 [GB]","dHashT [GB]","fHashT [GB]",
"70000000.000000","3.623188","8.376534","6.001751","6.001812","6.001797","8.001740","6.001610",
"71000000.000000","3.652985","8.386845","6.001751","6.001812","6.001797","8.001740","6.001610",
"72000000.000000","3.682793","8.397297","6.001751","6.001812","6.001797","8.001740","6.001610",
"73000000.000000","3.712589","8.407845","6.001751","6.001812","6.001797","8.001740","6.001610",
"74000000.000000","3.742393","8.418552","6.001751","6.001812","6.001797","8.001740","6.001610",
"75000000.000000","3.772194","8.429401","6.001751","6.001812","6.001797","8.001740","6.001610",
"76000000.000000","3.802002","8.440353","6.001751","6.001812","6.001797","8.001740","6.001610",
"77000000.000000","3.831799","8.451435","6.001751","6.001812","6.001797","8.001740","6.001610",
"78000000.000000","3.861599","8.462624","6.001751","6.001812","6.001797","8.001740","6.001610",
"79000000.000000","3.891403","8.473946","6.001751","6.001812","6.001797","8.001740","6.001610",
"80000000.000000","3.921211","8.485390","6.001751","6.001812","6.001797","8.001740","6.001610",
"81000000.000000","3.951012","8.496971","6.001751","6.001812","6.001797","8.001740","6.001610",
"82000000.000000","3.980812","8.508648","6.001751","6.001812","6.001797","8.001740","6.001610",
"83000000.000000","4.010612","8.520493","6.001751","6.001812","6.001797","8.001740","6.001610",
"84000000.000000","4.040421","8.532406","6.001751","6.001812","6.001797","8.001740","6.001610",
"85000000.000000","4.070217","8.544514","6.001751","6.001812","6.001797","8.001740","6.001610",
"86000000.000000","4.100018","8.556725","6.001751","6.001812","6.001797","8.001740","6.001610",
"87000000.000000","4.129822","8.569046","6.001751","6.001812","6.001797","8.001740","6.001610",
"88000000.000000","4.159630","8.581505","6.001751","6.001812","6.001797","8.001740","6.001610",
"89000000.000000","4.189426","8.594059","6.001751","6.001812","6.001797","8.001740","6.001610",
"90000000.000000","4.219234","8.606758","6.001751","6.001812","6.001797","8.001740","6.001610",
"91000000.000000","4.249031","8.619553","6.001751","6.001812","6.001797","8.001740","6.001610",
"92000000.000000","4.278839","8.632446","6.001751","6.001812","6.001797","8.001740","6.001610",
"93000000.000000","4.308632","8.645470","6.001751","6.001812","6.001797","8.001740","6.001610",
"94000000.000000","4.338440","8.658638","6.001751","6.001812","6.001797","8.001740","6.001610",
"95000000.000000","4.368240","8.671913","6.001751","6.001812","6.001797","8.001740","6.001610",
"96000000.000000","4.398048","8.685303","6.001751","6.001812","6.001797","8.001740","6.001610",
"97000000.000000","4.427845","8.698803","6.001751","6.001812","6.001797","8.001740","6.001610",
"98000000.000000","4.457649","8.712376","6.001751","6.001812","6.001797","8.001740","6.001610",
"99000000.000000","4.487450","8.726120","6.001751","6.001812","6.001797","8.001740","6.001610",
"100000000.000000","4.517258","8.739986","6.001751","6.001812","6.001797","8.001740","6.001610",
"101000000.000000","4.547054","8.753963","6.001751","6.001812","6.001797","8.001740","6.001610",
"102000000.000000","4.576855","8.768044","6.001751","6.001812","6.001797","8.001740","6.001610",
"103000000.000000","4.606659","8.782215","6.001751","6.001812","6.001797","8.001740","6.001610",
"104000000.000000","4.636467","8.796501","6.001751","6.001812","6.001797","8.001740","6.001610",
"105000000.000000","4.666267","8.810963","6.001751","6.001812","6.001797","8.001740","6.001610",
"106000000.000000","4.696064","8.825493","6.001751","6.001812","6.001797","8.001740","6.001610",
"107000000.000000","4.725868","8.840141","6.001751","6.001812","6.001797","8.001740","6.001610",
"108000000.000000","4.755676","8.854897","6.001751","6.001812","6.001797","8.001740","6.001610",
"109000000.000000","4.785477","8.869759","6.001751","6.001812","6.001797","8.001740","6.001610",
"110000000.000000","4.815277","8.884727","6.001751","6.001812","6.001797","8.001740","6.001610",
"111000000.000000","4.845078","8.899776","6.001751","6.001812","6.001797","8.001740","6.001610",
"112000000.000000","4.874886","8.914970","6.001751","6.001812","6.001797","8.001740","6.001610",
"113000000.000000","4.904682","8.930275","6.001751","6.001812","6.001797","8.001740","6.001610",
"114000000.000000","4.934483","8.945679","6.001751","6.001812","6.001797","8.001740","6.001610",
"115000000.000000","4.964287","8.961182","6.001751","6.001812","6.001797","8.001740","6.001610",
"116000000.000000","4.994095","8.976810","6.001751","6.001812","6.001797","8.001740","6.001610",
"117000000.000000","5.023891","8.992558","6.001751","6.001812","6.001797","8.001740","6.001610",
"118000000.000000","5.053692","9.008411","6.001751","6.001812","6.001797","8.001740","6.001610",
"119000000.000000","5.083496","9.024395","6.001751","6.001812","6.001797","8.001740","6.001610",
"120000000.000000","5.113304","9.040436","6.001751","6.001812","6.001797","8.001740","6.001610",
"121000000.000000","5.143105","9.056614","6.001751","6.001812","6.001797","8.001740","6.001610",
"122000000.000000","5.172905","9.072891","6.001751","6.001812","6.001797","8.001740","6.001610",
"123000000.000000","5.202705","9.089249","6.001751","6.001812","6.001797","8.001740","6.001610",
"124000000.000000","5.232513","9.105724","6.001751","6.001812","6.001797","8.001740","6.001610",
"125000000.000000","5.262310","9.122326","6.001751","6.001812","6.001797","8.001740","6.001610",
"126000000.000000","5.292114","9.139061","6.001751","6.001812","6.001797","8.001740","6.001610",
"127000000.000000","5.321915","9.155834","6.001751","6.001812","6.001797","8.001740","6.001610",
"128000000.000000","5.351723","9.172741","6.001751","6.001812","6.001797","8.001740","6.001610",
"129000000.000000","5.381519","9.189770","6.001751","6.001812","6.001797","8.001740","6.001610",
"130000000.000000","5.411324","9.206825","6.001755","6.001816","6.001801","8.001743","6.001614",
"131000000.000000","5.441124","9.224022","6.001755","6.001816","6.001801","8.001743","6.001614",
"132000000.000000","5.470932","9.241360","6.001755","6.001816","6.001801","8.001743","6.001614",
"133000000.000000","5.500732","9.258781","6.001755","6.001816","6.001801","8.001743","6.001614",
"134000000.000000","5.530533","9.276276","6.001755","6.001816","6.001801","8.001743","6.001614",
"135000000.000000","5.560337","9.293873","18.001724","6.001816","6.001801","8.001743","18.001617",
"136000000.000000","5.590137","9.311596","12.001755","6.001816","6.001801","8.001743","12.001614",
"137000000.000000","5.619938","9.329403","12.001755","6.001816","6.001801","8.001743","12.001614",
