"[count]","uHashT [%]","cHashT [%]","iHashT_u8h [%]","iHashT_u8 [%]","iHashT_u16 [%]","dHashT [%]","fHashT [%]",
"4.000000","0.500000","0.800000","0.513514","1.000000","1.000000","0.500000","0.500000",
"10.000000","0.800000","0.727273","0.512821","1.000000","1.000000","0.500000","0.500000",
"22.000000","0.909091","0.640000","0.511628","1.000000","1.000000","0.500000","0.500000",
"46.000000","0.956522","0.727273","0.509804","1.000000","1.000000","0.500000","0.500000",
"96.000000","0.978723","0.727273","0.514706","1.000000","1.000000","0.500000","0.500000",
"198.000000","0.989691","0.723164","0.509804","1.000000","1.000000","0.500000","0.500000",
"408.000000","0.994975","0.742029","0.505882","0.994118","0.988235","0.500000","0.500000",
"822.000000","0.997555","0.731429","0.501639","0.904918","1.000000","0.500000","0.500000",
"1740.000000","0.998785","0.735632","0.500870","0.864348","0.998261","0.500000","0.500000",
"3738.000000","0.999426","0.727273","0.500448","0.904933","0.993722","0.500000","0.500000",
"7516.000000","0.999733","0.733130","0.500455","0.899362","0.996357","0.500000","0.500000",
"15172.000000","0.999867","0.733524","0.500230","0.850115","0.999770","0.500000","0.500000",
"30726.000000","0.999934","0.733130","0.500118","0.888231","0.996922","0.500000","0.500000",
"62232.000000","0.999967","0.732000","0.500060","0.865969","1.000000","0.500000","0.500000",
"126270.000000","0.999984","0.732090","0.500030","0.852280","0.995791","0.500000","0.500000",
"256278.000000","0.999992","0.731866","0.500015","0.813558","0.998982","0.500000","0.500000",
"520240.000000","0.999996","0.731604","0.500008","0.837351","0.998302","0.500000","0.500000",
"1056322.000000","0.999998","0.731272","0.500004","0.831028","0.991395","0.500000","0.500000",
"2144976.000000","0.999999","0.731178","0.500002","0.828683","0.993009","0.500000","0.500000",
"4355706.000000","1.000000","0.731146","0.500001","0.806269","0.991600","0.500000","0.500000",
"8844858.000000","1.000000","0.731054","0.500000","0.790670","0.992792","0.500000","0.500000",
"17961078.000000","1.000000","0.730976","0.500000","0.761338","0.990100","0.500000","0.500000",
"36473442.000000","1.000000","0.731010","0.500000","0.766640","0.990615","0.500000","0.500000",
"74066548.000000","1.000000","0.731022","0.500000","0.767487","0.989219","0.500000","0.500000",
"150406842.000000","1.000000","0.731033","0.500000","0.768983","0.988993","0.000000","0.500000",
"305431228.000000","1.000000","0.731047","0.500000","0.751043","0.988606","0.000000","0.500000",
"0.000000","0.000000","0.000000","0.500000","0.755783","0.985323","0.000000","0.500000",
"0.000000","0.000000","0.000000","0.500000",
