"[count]","uHashT [GB]","cHashT [GB]","iHashT_u8h [GB]","iHashT_u8f [GB]","iHashT_u16 [GB]","dHashT [GB]","fHashT [GB]",
"70000000.000000","3.623047","8.376408","12.001812","12.001934","6.001934","8.001869","6.001602",
"71000000.000000","3.652843","8.386734","12.001812","12.001934","6.001934","8.001869","6.001602",
"72000000.000000","3.682655","8.397167","12.001812","12.001934","6.001934","8.001869","6.001602",
"73000000.000000","3.712452","8.407772","12.001812","12.001934","6.001934","8.001869","6.001602",
"74000000.000000","3.742252","8.418484","12.001812","12.001934","6.001934","8.001869","6.001602",
"75000000.000000","3.772057","8.429329","12.001812","12.001934","6.001934","8.001869","6.001602",
"76000000.000000","3.801865","8.440327","12.001812","12.001934","6.001934","8.001869","6.001602",
"77000000.000000","3.831661","8.451408","12.001812","12.001934","6.001934","8.001869","6.001602",
"78000000.000000","3.861462","8.462643","12.001812","12.001934","6.001934","8.001869","6.001602",
"79000000.000000","3.891266","8.473988","12.001812","12.001934","6.001934","8.001869","6.001602",
"80000000.000000","3.921074","8.485447","12.001812","12.001934","6.001934","8.001869","6.001602",
"81000000.000000","3.950867","8.497063","12.001812","12.001934","6.001934","8.001869","6.001602",
"82000000.000000","3.980671","8.508778","12.001812","12.001934","6.001934","8.001869","6.001602",
"83000000.000000","4.010475","8.520634","12.001812","12.001934","6.001934","8.001869","6.001602",
"84000000.000000","4.040283","8.532539","12.001812","12.001934","6.001934","8.001869","6.001602",
"85000000.000000","4.070080","8.544636","12.001812","12.001934","6.001934","8.001869","6.001602",
"86000000.000000","4.099880","8.556812","12.001812","12.001934","6.001934","8.001869","6.001602",
"87000000.000000","4.129684","8.569130","12.001812","12.001934","6.001934","8.001869","6.001602",
"88000000.000000","4.159492","8.581573","12.001812","12.001934","6.001934","8.001869","6.001602",
"89000000.000000","4.189293","8.594170","12.001812","12.001934","6.001934","8.001869","6.001602",
"90000000.000000","4.219090","8.606853","12.001812","12.001934","6.001934","8.001869","6.001602",
"91000000.000000","4.248894","8.619625","12.001812","12.001934","6.001934","8.001869","6.001602",
"92000000.000000","4.278702","8.632565","12.001812","12.001934","6.001934","8.001869","6.001602",
"93000000.000000","4.308498","8.645596","12.001812","12.001934","6.001934","8.001869","6.001602",
"94000000.000000","4.338299","8.658783","12.001812","12.001934","6.001934","8.001869","6.001602",
"95000000.000000","4.368103","8.672028","12.001812","12.001934","6.001934","8.001869","6.001602",
"96000000.000000","4.397911","8.685390","12.001812","12.001934","6.001934","8.001869","6.001602",
"97000000.000000","4.427708","8.698891","12.001812","12.001934","6.001934","8.001869","6.001602",
"98000000.000000","4.457512","8.712490","12.001812","12.001934","6.001934","8.001869","6.001602",
"99000000.000000","4.487309","8.726212","12.001812","12.001934","6.001934","8.001869","6.001602",
"100000000.000000","4.517120","8.740074","12.001812","12.001934","6.001934","8.001869","6.001602",
"101000000.000000","4.546917","8.754017","12.001812","12.001934","6.001934","8.001869","6.001602",
"102000000.000000","4.576717","8.768108","12.001812","12.001934","6.001934","8.001869","6.001602",
"103000000.000000","4.606525","8.782295","12.001812","12.001934","6.001934","8.001869","6.001602",
"104000000.000000","4.636330","8.796650","12.001812","12.001934","6.001934","8.001869","6.001602",
"105000000.000000","4.666122","8.811043","12.001812","12.001934","6.001934","8.001869","6.001602",
"106000000.000000","4.695930","8.825573","12.001812","12.001934","6.001934","8.001869","6.001602",
"107000000.000000","4.725731","8.840206","12.001812","12.001934","6.001934","8.001869","6.001602",
"108000000.000000","4.755539","8.854980","12.001812","12.001934","6.001934","8.001869","6.001602",
"109000000.000000","4.785336","8.869888","12.001812","12.001934","6.001934","8.001869","6.001602",
"110000000.000000","4.815136","8.884850","12.001812","12.001934","6.001934","8.001869","6.001602",
"111000000.000000","4.844940","8.899929","12.001812","12.001934","6.001934","8.001869","6.001602",
"112000000.000000","4.874741","8.915127","12.001812","12.001934","6.001934","8.001869","6.001602",
"113000000.000000","4.904545","8.930393","12.001812","12.001934","6.001934","8.001869","6.001602",
"114000000.000000","4.934353","8.945793","12.001812","12.001934","6.001934","8.001869","6.001602",
"115000000.000000","4.964149","8.961281","12.001812","12.001934","6.001934","8.001869","6.001602",
"116000000.000000","4.993950","8.976944","12.001812","12.001934","6.001934","8.001869","6.001602",
"117000000.000000","5.023754","8.992699","12.001812","12.001934","6.001934","8.001869","6.001602",
"118000000.000000","5.053558","9.008526","12.001812","12.001934","6.001934","8.001869","6.001602",
"119000000.000000","5.083359","9.024502","12.001812","12.001934","6.001934","8.001869","6.001602",
"120000000.000000","5.113167","9.040592","12.001812","12.001934","6.001934","8.001869","6.001602",
"121000000.000000","5.142963","9.056736","12.001812","12.001934","6.001934","8.001869","6.001602",
"122000000.000000","5.172768","9.073006","12.001812","12.001934","6.001934","8.001869","6.001602",
"123000000.000000","5.202568","9.089352","12.001812","12.001934","6.001934","8.001869","6.001602",
"124000000.000000","5.232376","9.105885","12.001812","12.001934","6.001934","8.001869","6.001602",
"125000000.000000","5.262173","9.122471","12.001812","12.001934","6.001934","8.001869","6.001602",
"126000000.000000","5.291977","9.139194","12.001812","12.001934","6.001934","8.001869","6.001602",
"127000000.000000","5.321777","9.156017","12.001812","12.001934","6.001934","8.001869","6.001602",
"128000000.000000","5.351585","9.172947","12.001812","12.001934","6.001934","8.001869","6.001602",
"129000000.000000","5.381390","9.189972","12.001812","12.001934","6.001938","8.001869","6.001606",
"130000000.000000","5.411186","9.207062","12.001816","12.001938","6.001938","8.001873","6.001606",
