"[count]","uHashT [GB]","cHashT [GB]","iHashT_u8h [GB]","iHashT_u8f [GB]","iHashT_u16 [GB]","dHashT [GB]","fHashT [GB]",
"6200000.000000","0.343018","1.024132","0.750015","0.750153","0.750008","1.000004","0.750004",
"6300000.000000","0.346001","1.024887","0.750015","0.750153","0.750008","1.000004","0.750004",
"6400000.000000","0.348976","1.025665","0.750015","0.750153","0.750008","1.000004","0.750004",
"6500000.000000","0.351959","1.026459","0.750015","0.750153","0.750008","1.000004","0.750004",
"6600000.000000","0.354939","1.027252","0.750015","0.750153","0.750008","1.000004","0.750004",
"6700000.000000","0.357918","1.028053","0.750015","0.750153","0.750008","1.000004","0.750004",
"6800000.000000","0.360901","1.028870","0.750015","0.750153","0.750008","1.000004","0.750004",
"6900000.000000","0.363880","1.029690","0.750015","0.750153","0.750008","1.000004","0.750004",
"7000000.000000","0.366863","1.030537","0.750015","0.750153","0.750008","1.000004","0.750004",
"7100000.000000","0.369846","1.031384","0.750015","0.750153","0.750008","1.000004","0.750004",
"7200000.000000","0.372822","1.032242","0.750015","0.750153","0.750008","1.000004","0.750004",
"7300000.000000","0.375801","1.033108","0.750015","0.750153","0.750008","1.000004","0.750004",
"7400000.000000","0.378788","1.033989","0.750015","0.750153","0.750008","1.000004","0.750004",
"7500000.000000","0.381760","1.034870","0.750015","0.750153","0.750008","1.000004","0.750004",
"7600000.000000","0.384743","1.035774","0.750015","0.750153","0.750008","1.000004","0.750004",
"7700000.000000","0.387730","1.036682","0.750015","0.750153","0.750008","1.000004","0.750004",
"7800000.000000","0.390701","1.037605","0.750015","0.750153","0.750008","1.000004","0.750004",
"7900000.000000","0.393684","1.038548","0.750015","0.750153","0.750008","1.000004","0.750004",
"8000000.000000","0.396664","1.039494","0.750015","0.750153","0.750008","1.000004","0.750004",
"8100000.000000","0.399643","1.040447","0.750015","0.750153","0.750008","1.000004","0.750004",
"8200000.000000","0.402622","1.041428","0.750015","0.750153","0.750008","1.000004","0.750004",
"8300000.000000","0.405602","1.042393","0.750015","0.750153","0.750008","1.000004","0.750004",
"8400000.000000","0.408588","1.043373","0.750015","0.750153","0.750008","1.000004","0.750004",
