"[count]","uHashT [%]","cHashT [%]","iHashT_u8h [%]","iHashT_u8 [%]","iHashT_u16 [%]","dHashT [%]","fHashT [%]",
"4.000000","0.500000","0.666667","0.513514","1.000000","1.000000","0.500000","0.500000",
"10.000000","0.800000","0.800000","0.512821","1.000000","1.000000","0.500000","0.500000",
"22.000000","0.909091","0.666667","0.511628","1.000000","1.000000","0.500000","0.500000",
"46.000000","0.956522","0.727273","0.509804","1.000000","1.000000","0.500000","0.500000",
"96.000000","0.978723","0.695652","0.514706","1.000000","1.000000","0.500000","0.500000",
"198.000000","0.989691","0.719101","0.509804","1.000000","1.000000","0.500000","0.500000",
"408.000000","0.994975","0.723164","0.505882","1.000000","1.000000","0.500000","0.500000",
"822.000000","0.997555","0.742029","0.501639","0.967213","0.996721","0.500000","0.500000",
"1740.000000","0.998785","0.735632","0.500870","0.817391","0.994783","0.500000","0.500000",
"3738.000000","0.999426","0.721635","0.500448","0.838565","0.990135","0.500000","0.500000",
"7516.000000","0.999733","0.725212","0.500455","0.811020","0.995446","0.500000","0.500000",
"15172.000000","0.999867","0.729475","0.500230","0.838391","0.998621","0.500000","0.500000",
"30726.000000","0.999934","0.730515","0.500118","0.849988","0.999526","0.500000","0.500000",
"62232.000000","0.999967","0.731984","0.500060","0.839284","0.996153","0.500000","0.500000",
"126270.000000","0.999984","0.728972","0.500030","0.831506","0.998849","0.500000","0.500000",
"256278.000000","0.999992","0.731167","0.500015","0.859052","0.997872","0.500000","0.500000",
"520240.000000","0.999996","0.730976","0.500008","0.845408","0.996886","0.500000","0.500000",
"1056322.000000","0.999998","0.731320","0.500004","0.837484","0.998346","0.500000","0.500000",
"2144976.000000","0.999999","0.730945","0.500002","0.793662","0.992031","0.500000","0.500000",
"4355706.000000","1.000000","0.731105","0.500001","0.818071","0.990746","0.500000","0.500000",
"8844858.000000","1.000000","0.731083","0.500000","0.801535","0.992478","0.500000","0.500000",
"17961078.000000","1.000000","0.731036","0.500000","0.781997","0.987475","0.500000","0.500000",
"36473442.000000","1.000000","0.731111","0.500000","0.774029","0.992148","0.500000","0.500000",
"74066548.000000","1.000000","0.731073","0.500000","0.765081","0.990702","0.500000","0.500000",
"150406842.000000","1.000000","0.731075","0.500000","0.768497","0.989969","0.000000","0.500000",
"305431228.000000","1.000000","0.731079","0.500000","0.762127","0.986903","0.000000","0.500000",
"0.000000","0.000000","0.731063","0.500000","0.747413","0.986396","0.000000","0.500000",
"0.000000","0.000000","0.000000","0.500000",
