"[count]","uHashT [%]","cHashT [%]","iHashT_u8h [%]","iHashT_u8 [%]","iHashT_u16 [%]","dHashT [%]","fHashT [%]",
"4.000000","0.500000","1.000000","0.513514","1.000000","1.000000","0.500000","0.500000",
"10.000000","0.800000","0.666667","0.512821","1.000000","1.000000","0.500000","0.500000",
"22.000000","0.909091","0.727273","0.511628","1.000000","1.000000","0.500000","0.500000",
"46.000000","0.956522","0.761905","0.509804","0.980392","1.000000","0.500000","0.500000",
"96.000000","0.978723","0.727273","0.514706","0.985294","1.000000","0.500000","0.500000",
"198.000000","0.989691","0.735632","0.509804","0.990196","0.990196","0.500000","0.500000",
"408.000000","0.994975","0.715084","0.505882","0.994118","1.000000","0.500000","0.500000",
"822.000000","0.997555","0.729345","0.501639","0.934426","0.993443","0.500000","0.500000",
"1740.000000","0.998785","0.725212","0.500870","0.873043","0.972174","0.500000","0.500000",
"3738.000000","0.999426","0.725726","0.500448","0.886996","0.984753","0.500000","0.500000",
"7516.000000","0.999733","0.738550","0.500455","0.873406","0.991348","0.500000","0.500000",
"15172.000000","0.999867","0.729215","0.500230","0.844138","0.996782","0.500000","0.500000",
"30726.000000","0.999934","0.730711","0.500118","0.863249","0.997869","0.500000","0.500000",
"62232.000000","0.999967","0.730515","0.500060","0.876187","1.000000","0.500000","0.500000",
"126270.000000","0.999984","0.731265","0.500030","0.856126","0.998789","0.500000","0.500000",
"256278.000000","0.999992","0.731208","0.500015","0.841617","0.995881","0.500000","0.500000",
"520240.000000","0.999996","0.731327","0.500008","0.818650","0.998591","0.500000","0.500000",
"1056322.000000","0.999998","0.730964","0.500004","0.818082","0.994344","0.500000","0.500000",
"2144976.000000","0.999999","0.731285","0.500002","0.811373","0.991814","0.500000","0.500000",
"4355706.000000","1.000000","0.730778","0.500001","0.810305","0.992877","0.500000","0.500000",
"8844858.000000","1.000000","0.730897","0.500000","0.804467","0.992710","0.500000","0.500000",
"17961078.000000","1.000000","0.731058","0.500000","0.789036","0.987683","0.500000","0.500000",
"36473442.000000","1.000000","0.731110","0.500000","0.787775","0.991129","0.500000","0.500000",
"74066548.000000","1.000000","0.731124","0.500000","0.751659","0.988248","0.500000","0.500000",
"150406842.000000","1.000000","0.731056","0.500000","0.747542","0.985324","0.000000","0.500000",
"305431228.000000","1.000000","0.731043","0.500000","0.750393","0.984691","0.000000","0.500000",
"0.000000","0.000000","0.731055","0.500000","0.747100","0.987494","0.000000","0.500000",
"0.000000","0.000000","0.000000","0.500000","0.743912",
