"[count]","uHashT [sec]","cHashT [sec]","iHashT_u8h [sec]","iHashT_u8f [sec]","iHashT_u16 [sec]","dHashT [sec]","fHashT [sec]",
"0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",
"2000000.000000","0.340045","0.221681","0.157721","0.161742","0.154833","0.150238","0.144725",
"4000000.000000","0.685739","0.443938","0.315858","0.324005","0.309410","0.300449","0.289324",
"6000000.000000","1.035833","0.667177","0.474571","0.485902","0.464230","0.450998","0.434923",
"8000000.000000","1.391328","0.891223","0.633370","0.648013","0.619465","0.601474","0.579775",
"10000000.000000","1.751521","1.116730","0.791753","0.809954","0.775009","0.752244","0.725291",
"12000000.000000","2.117148","1.343393","0.950416","0.972013","0.930470","0.902963","0.870681",
"14000000.000000","2.487734","1.570807","1.108990","1.134342","1.087564","1.053803","1.016855",
"16000000.000000","2.863802","1.799127","1.268020","1.297594","1.243773","1.204614","1.162932",
"18000000.000000","3.246097","2.027378","1.427265","1.460895","1.400505","1.355337","1.310321",
"20000000.000000","3.633140","2.257150","1.586551","1.624671","1.557700","1.506470","1.457650",
"22000000.000000","4.025665","2.487097","1.745935","1.788342","1.715197","1.657667","1.604838",
"24000000.000000","4.424622","2.717787","1.906041","1.952406","1.872697","1.809032","1.752252",
"26000000.000000","4.828587","2.949425","2.066201","2.117017","2.030975","1.960790","1.899924",
"28000000.000000","5.238274","3.182368","2.226541","2.280324","2.189246","2.112690","2.048051",
"30000000.000000","5.653975","3.416096","2.386669","2.444267","2.348537","2.264734","2.197100",
"32000000.000000","6.075816","3.650026","2.546951","2.608088","2.509356","2.416774","2.346067",
"34000000.000000","6.502895","3.885010","2.707392","2.773120","2.669522","2.569284","2.495360",
"36000000.000000","6.936145","4.121177","2.868406","2.938646","2.830337","2.721628","2.644762",
"38000000.000000","7.372341","4.358296","3.029145","3.103881","2.992152","2.874431","2.795463",
"40000000.000000","7.808256","4.596271","3.190263","3.268840","3.154681","3.027240","2.945835",
"42000000.000000","8.247066","4.835005","3.351459","3.433372","3.317414","3.180030","3.096962",
"44000000.000000","8.692424","5.075338","3.513086","3.598899","3.481443","3.333204","3.249695",
"46000000.000000","9.156192","5.316849","3.674450","3.764938","3.645062","3.486521","3.402073",
"48000000.000000","9.625898","5.559801","3.836315","3.930593","3.809881","3.640379","3.554602",
"50000000.000000","10.101658","5.803476","3.999027","4.096620","3.974832","3.793999","3.707075",
"52000000.000000","10.583962","6.048584","4.161231","4.261889","4.140440","3.948087","3.860059",
"54000000.000000","11.072986","6.295340","4.324235","4.426873","4.306856","4.102518","4.013801",
"56000000.000000","11.567360","6.542757","4.486877","4.594103","4.473474","4.257104","4.169176",
"58000000.000000","12.068230","6.791494","4.649571","4.761031","4.641010","4.411955","4.324944",
"60000000.000000","12.575707","7.041565","4.812740","4.926953","4.809417","4.566738","4.480159",
"62000000.000000","13.089642","7.292364","4.976191","5.092817","4.979669","4.721989","4.636258",
"64000000.000000","13.610138","7.544943","5.139789","5.260308","5.150647","4.877216","4.793101",
"66000000.000000","14.137910","7.799261","5.303550","5.427072","5.321875","5.032934","4.950469",
"68000000.000000","14.670261","8.054375","5.467278","5.594171","5.493795","5.188843","5.108532",
"70000000.000000","15.211319","8.311295","5.631686","5.762294","5.667232","5.344731","5.267727",
"72000000.000000","15.758427","8.569782","5.795609","5.930333","5.841259","5.501282","5.426982",
"74000000.000000","16.310707","8.829929","5.959992","6.098314","6.015346","5.657709","5.587133",
"76000000.000000","16.870438","9.092130","6.124410","6.266731","6.190759","5.814418","5.747797",
"78000000.000000","17.437158","9.355641","6.289310","6.436769","6.367396","5.971851","5.909206",
"80000000.000000","18.009684","9.620816","6.454084","6.604728","6.545164","6.129585","6.071328",
"82000000.000000","18.588560","9.887555","6.619571","6.772984","6.723473","6.287700","6.234281",
"84000000.000000","19.175062","10.155597","6.784898","6.941518","6.903090","6.446159","6.397879",
"86000000.000000","19.767620","10.426092","6.950727","7.110947","7.083978","6.604953","6.562356",
"88000000.000000","20.367132","10.698659","7.117131","7.280568","7.265058","6.763964","6.727874",
"90000000.000000","20.973013","10.973035","7.283292","7.451116","7.445682","6.923367","6.894488",
"92000000.000000","21.586679","11.249331","7.449493","7.620581","7.627225","7.083240","7.061952",
"94000000.000000","22.205991","11.527448","7.616454","7.790781","7.811469","7.243797","7.230046",
"96000000.000000","22.832615","11.807754","7.783456","7.962254","7.997141","7.404558","7.399294",
"98000000.000000","23.466310","12.090397","7.950874","8.134507","8.183634","7.565996","7.569525",
"100000000.000000","24.107013","12.374822","8.118616","8.306401","8.371879","7.727495","7.740639",
"102000000.000000","24.752929","12.661957","8.286535","8.478543","8.561612","7.889455","7.912727",
"104000000.000000","25.405749","12.951167","8.454303","8.651553","8.751517","8.051271","8.085854",
"106000000.000000","26.065657","13.241922","8.622450","8.823934","8.942716","8.213764","8.260075",
"108000000.000000","26.731723","13.535265","8.790834","8.996999","9.134621","8.376357","8.435124",
"110000000.000000","27.404608","13.831202","8.959374","9.171199","9.329403","8.539501","8.611313",
"112000000.000000","28.083293","14.128962","9.128057","9.345713","9.524719","8.703401","8.788685",
"114000000.000000","28.769826","14.429440","9.296888","9.519190","9.722090","8.868301","8.967315",
"116000000.000000","29.463285","14.732796","9.465924","9.692917","9.919518","9.033067","9.147036",
"118000000.000000","30.162886","15.038448","9.635443","9.866893","10.119150","9.197928","9.327996",
"120000000.000000","30.870080","15.346713","9.806226","10.041081","10.321236","9.363714","9.510978",
"122000000.000000","31.583764","15.657577","9.977075","10.216351","10.524994","9.529991","9.695580",
"124000000.000000","32.304100","15.970736","10.147659","10.391788","10.729965","9.696570","9.882555",
"126000000.000000","33.031782","16.286996","10.318847","10.567205","10.936239","9.864252","10.070834",
"128000000.000000","33.765618","16.606340","10.490220","10.743190","11.144617","10.032328","10.261165",
"130000000.000000","34.507277","16.929045","10.661723","10.918722","11.355741","10.201320","10.453873",
"132000000.000000","35.254914","17.253894","10.833243","11.095415","11.568209","10.370521","10.648849",
"134000000.000000","36.009503","17.581222","11.005560","11.273583","11.782858","10.540155","10.846135",
"136000000.000000","36.771692","17.912153","11.178262","11.452193","11.999687","10.710623","16.927053",
"138000000.000000","37.539961","18.246076","11.350997","11.630843","12.219642","10.881495","17.091123",
"140000000.000000","38.314008","18.583114","11.524190","11.809767","12.441534","11.052934","17.255269",
"142000000.000000","39.096814","18.922648","11.697931","11.989445","12.666563","11.225209","17.419554",
"144000000.000000","39.884890","19.265344","11.872146","12.169604","12.894697","11.398249","17.584519",
"146000000.000000","40.680369","19.611492","12.046896","12.348924","13.125580","11.571716","17.749502",
"148000000.000000","41.481952","19.960786","12.221593","12.528571","13.359289","11.745939","17.915111",
"150000000.000000","42.289381","20.313236","12.396820","12.708849","13.596592","11.920658","18.081010",
"152000000.000000","43.105754","20.668449","12.572541","12.889993","13.837678","12.096225","18.246772",
"154000000.000000","43.928202","21.027389","12.748123","13.072125","14.083316","12.272160","18.412948",
"156000000.000000","44.757102","21.389121","12.924394","13.255069","14.333149","12.449150","18.579274",
"158000000.000000","45.593096","21.754559","13.100699","13.435964","14.587802","12.626660","18.746110",
"160000000.000000","46.435223","22.122534","13.277591","13.618286","14.844300","12.804791","18.913341",
"162000000.000000","47.284993","22.492296","13.454767","13.799935","15.106632","12.983364","19.081197",
"164000000.000000","48.140456","22.866617","13.632382","13.982392","15.375585","13.163465","19.249251",
"166000000.000000","49.003748","23.243005","13.810909","14.166979","15.649980","13.344539","19.417851",
"168000000.000000","49.873383","23.623605","13.989398","14.352168","15.930858","13.526261","19.586229",
"170000000.000000","50.749356","24.007364","14.168728","14.537454","16.217609","13.709131","19.755528",
"172000000.000000","51.632090","24.395152","14.348663","14.723653","16.510923","13.892622","19.925004",
"174000000.000000","52.522957","24.785927","14.528714","14.910369","16.810909","14.076836","20.094842",
"176000000.000000","53.419543","25.178625","14.709216","15.097559","17.117128","14.261312","20.265014",
"178000000.000000","54.324137","25.576599","14.890027","15.283330","17.429822","14.447103","20.435361",
"180000000.000000","55.234866","25.978883","15.070980","15.469742","17.750013","14.633665","20.605843",
"182000000.000000","56.151777","26.384132","15.252626","15.656813","18.080181","14.821598","20.777293",
"184000000.000000","57.075829","26.793111","15.434617","15.845366","18.417314","15.010415","20.949057",
"186000000.000000","58.006428","27.204661","15.617298","16.035381","18.762435","15.199974","21.121191",
"188000000.000000","58.943843","27.619854","15.799987","16.225314","19.115125","15.390800","21.293609",
