"[count]","uHashT [sec]","cHashT [sec]","iHashT_u8h [sec]","iHashT_u8f [sec]","iHashT_u16 [sec]","dHashT [sec]","fHashT [sec]",
"0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",
"2000000.000000","0.339923","0.221431","0.154530","0.160824","0.154689","0.150339","0.144597",
"4000000.000000","0.684407","0.443896","0.312771","0.322319","0.309807","0.300831","0.289621",
"6000000.000000","1.034116","0.667915","0.471372","0.484016","0.464797","0.451642","0.434220",
"8000000.000000","1.388850","0.893112","0.629284","0.646186","0.619986","0.602591","0.580125",
"10000000.000000","1.748562","1.118799","0.787804","0.808472","0.776194","0.753789","0.725959",
"12000000.000000","2.113537","1.344417","0.946415","0.970754","0.932367","0.905054","0.871762",
"14000000.000000","2.484277","1.572300","1.105291","1.133248","1.088539","1.056630","1.018451",
"16000000.000000","2.859924","1.800974","1.263828","1.295829","1.245273","1.208076","1.164719",
"18000000.000000","3.241913","2.029779","1.422722","1.458658","1.403319","1.359819","1.311642",
"20000000.000000","3.628659","2.259442","1.581997","1.621609","1.561428","1.511138","1.458176",
"22000000.000000","4.020350","2.489370","1.740643","1.785277","1.720251","1.662996","1.605637",
"24000000.000000","4.418470","2.720580","1.899732","1.948816","1.879001","1.815034","1.754024",
"26000000.000000","4.822612","2.952205","2.059289","2.112788","2.037709","1.966841","1.902356",
"28000000.000000","5.232297","3.184846","2.219159","2.276721","2.197785","2.118606","2.050935",
"30000000.000000","5.647375","3.418242","2.379099","2.441111","2.357958","2.270556","2.200313",
"32000000.000000","6.068924","3.652515","2.539127","2.605419","2.518073","2.422836","2.349325",
"34000000.000000","6.496086","3.887760","2.699706","2.770491","2.679638","2.575141","2.498856",
"36000000.000000","6.928910","4.123880","2.860098","2.934101","2.840986","2.727554","2.649138",
"38000000.000000","7.367684","4.361320","3.020878","3.098130","3.003434","2.880397","2.800202",
"40000000.000000","7.812989","4.600247","3.181403","3.263229","3.166362","3.033540","2.951276",
"42000000.000000","8.263284","4.839453","3.342142","3.428208","3.329409","3.186601","3.102291",
"44000000.000000","8.720531","5.079998","3.503369","3.593864","3.493190","3.340182","3.254240",
"46000000.000000","9.184831","5.321970","3.665411","3.759626","3.658017","3.493797","3.406705",
"48000000.000000","9.654232","5.564960","3.826766","3.924777","3.822980","3.648107","3.559127",
"50000000.000000","10.129876","5.809364","3.988588","4.089769","3.988841","3.802173","3.711819",
"52000000.000000","10.612016","6.054880","4.150376","4.255090","4.155717","3.956255","3.865182",
"54000000.000000","11.100502","6.301566","4.312783","4.420973","4.322099","4.110547","4.019923",
"56000000.000000","11.595008","6.549825","4.475006","4.586941","4.488564","4.265032","4.174317",
"58000000.000000","12.096683","6.798698","4.637756","4.752658","4.655965","4.419791","4.329028",
"60000000.000000","12.604745","7.048275","4.800225","4.917991","4.824134","4.574912","4.484915",
"62000000.000000","13.119140","7.299683","4.963246","5.083556","4.993100","4.730181","4.641438",
"64000000.000000","13.639967","7.553217","5.126433","5.249219","5.162708","4.885375","4.798412",
"66000000.000000","14.166613","7.808062","5.290069","5.415353","5.333434","5.040678","4.956417",
"68000000.000000","14.700153","8.064385","5.453607","5.581615","5.505022","5.196853","5.114641",
"70000000.000000","15.240181","8.321724","5.617502","5.747998","5.677477","5.353155","5.273389",
"72000000.000000","15.787699","8.580603","5.781121","5.915174","5.851446","5.509987","5.432388",
"74000000.000000","16.340627","8.841650","5.945525","6.082380","6.025983","5.666897","5.592620",
"76000000.000000","16.900367","9.103797","6.110002","6.250210","6.201477","5.824130","5.753242",
"78000000.000000","17.466794","9.368196","6.274808","6.417942","6.378649","5.981648","5.915255",
"80000000.000000","18.039715","9.634068","6.439645","6.585493","6.555871","6.139466","6.077457",
"82000000.000000","18.620647","9.901623","6.605293","6.754067","6.734558","6.297633","6.240758",
"84000000.000000","19.207123","10.171297","6.770572","6.923143","6.914509","6.456009","6.404813",
"86000000.000000","19.800065","10.442536","6.936057","7.092151","7.095565","6.614859","6.569915",
"88000000.000000","20.399271","10.715208","7.101333","7.261886","7.277047","6.773949","6.735621",
"90000000.000000","21.005559","10.989951","7.267616","7.431880","7.460163","6.933008","6.901743",
"92000000.000000","21.618192","11.266584","7.433862","7.601706","7.643962","7.092416","7.069049",
"94000000.000000","22.237762","11.545088","7.600601","7.771937","7.828446","7.252197","7.237212",
"96000000.000000","22.865381","11.825975","7.767146","7.942939","8.014074","7.413214","7.406766",
"98000000.000000","23.498147","12.108889","7.934054","8.114960","8.200574","7.574443","7.576988",
"100000000.000000","24.137715","12.394286","8.101143","8.287686","8.387126","7.735593","7.748399",
"102000000.000000","24.783922","12.681352","8.268530","8.460214","8.574962","7.896942","7.920692",
"104000000.000000","25.437663","12.971482","8.436430","8.630726","8.763142","8.058850","8.094277",
"106000000.000000","26.096771","13.263626","8.604460","8.802072","8.953679","8.221451","8.267964",
"108000000.000000","26.764036","13.557554","8.772910","8.973940","9.144595","8.384248","8.443386",
"110000000.000000","27.437217","13.853278","8.941397","9.146988","9.336810","8.547196","8.619975",
"112000000.000000","28.116759","14.151896","9.110443","9.320072","9.530015","8.711200","8.797582",
"114000000.000000","28.804285","14.452919","9.279271","9.494008","9.724894","8.875190","8.976122",
"116000000.000000","29.498268","14.756939","9.448568","9.668098","9.922634","9.040161","9.155623",
"118000000.000000","30.197885","15.063242","9.617991","9.841974","10.122812","9.205400","9.337108",
"120000000.000000","30.905158","15.371313","9.787517","10.015376","10.323773","9.370942","9.520650",
"122000000.000000","31.619287","15.682799","9.957662","10.190018","10.527013","9.537574","9.705796",
"124000000.000000","32.340800","15.996639","10.128168","10.365038","10.731801","9.704881","9.892521",
"126000000.000000","33.068993","16.313706","10.299139","10.540990","10.938028","9.871773","10.080942",
"128000000.000000","33.803482","16.633274","10.470463","10.716786","11.146743","10.039532","10.271748",
