"[count]","uHashT [sec]","cHashT [sec]","iHashT_u8h [sec]","iHashT_u8f [sec]","iHashT_u16 [sec]","dHashT [sec]","fHashT [sec]",
"0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",
"2000000.000000","0.339815","0.221814","0.157804","0.161198","0.154363","0.150215","0.144689",
"4000000.000000","0.685080","0.444367","0.315773","0.322649","0.309029","0.300563","0.289394",
"6000000.000000","1.035357","0.668185","0.473876","0.484290","0.464630","0.451029","0.434706",
"8000000.000000","1.390235","0.892890","0.632041","0.645831","0.619150","0.601683","0.580608",
"10000000.000000","1.750543","1.118542","0.790206","0.806963","0.774776","0.752098","0.726180",
"12000000.000000","2.116670","1.345207","0.949107","0.968492","0.930666","0.903145","0.872428",
"14000000.000000","2.487653","1.572732","1.108211","1.130322","1.086151","1.053607","1.018552",
"16000000.000000","2.864636","1.801180","1.267089","1.292913","1.242621","1.204380","1.165095",
"18000000.000000","3.246351","2.030369","1.426137","1.454739","1.399822","1.355093","1.311635",
"20000000.000000","3.633521","2.259924","1.585173","1.617390","1.557375","1.505988","1.458321",
"22000000.000000","4.026779","2.491313","1.744591","1.780430","1.715647","1.657014","1.605763",
"24000000.000000","4.425017","2.722287","1.904014","1.944087","1.875109","1.808350","1.753859",
"26000000.000000","4.829240","2.953961","2.063226","2.108088","2.035017","1.959928","1.902278",
"28000000.000000","5.239077","3.186301","2.223184","2.271894","2.194592","2.111809","2.050756",
"30000000.000000","5.654986","3.419758","2.383268","2.435582","2.354354","2.263601","2.199441",
"32000000.000000","6.076076","3.654770","2.543101","2.599601","2.515021","2.415583","2.348895",
"34000000.000000","6.502985","3.890452","2.703606","2.764143","2.676242","2.567702","2.498845",
"36000000.000000","6.936194","4.126688","2.864498","2.929090","2.838728","2.720346","2.648937",
"38000000.000000","7.375339","4.363885","3.024728","3.094500","3.001375","2.872641","2.799110",
"40000000.000000","7.820599","4.602403","3.185178","3.259808","3.164373","3.025165","2.949808",
"42000000.000000","8.272419","4.841548","3.346055","3.426000","3.328050","3.177978","3.100913",
"44000000.000000","8.729628","5.082676","3.507263","3.591004","3.492716","3.331008","3.252197",
"46000000.000000","9.192722","5.324155","3.668195","3.756277","3.657137","3.484341","3.404061",
"48000000.000000","9.662747","5.567488","3.829394","3.920991","3.823404","3.637724","3.557575",
"50000000.000000","10.138498","5.811796","3.991201","4.085901","3.989169","3.791580","3.710436",
"52000000.000000","10.620507","6.057218","4.152903","4.251101","4.155970","3.945569","3.864197",
"54000000.000000","11.108849","6.303461","4.314636","4.417452","4.323868","4.099842","4.018339",
"56000000.000000","11.603490","6.551581","4.477184","4.583970","4.491730","4.254401","4.173368",
"58000000.000000","12.104608","6.800479","4.639858","4.751113","4.660835","4.408909","4.328756",
"60000000.000000","12.613774","7.050863","4.802832","4.918273","4.830039","4.563500","4.484280",
"62000000.000000","13.127625","7.302892","4.965677","5.084245","4.999823","4.718257","4.640467",
"64000000.000000","13.648191","7.556192","5.128940","5.249999","5.170292","4.873644","4.797411",
"66000000.000000","14.175377","7.811137","5.291587","5.416472","5.342000","5.029365","4.955327",
"68000000.000000","14.709649","8.067124","5.454712","5.582579","5.514929","5.185378","5.113334",
"70000000.000000","15.250458","8.324349","5.618319","5.750432","5.688459","5.341521","5.271898",
"72000000.000000","15.797583","8.582961","5.783149","5.917982","5.863041","5.497750","5.431606",
"74000000.000000","16.351041","8.843135","5.947057","6.084597","6.038176","5.654186","5.591993",
"76000000.000000","16.910813","9.105199","6.111451","6.252182","6.214224","5.811031","5.752946",
"78000000.000000","17.477408","9.369127","6.275987","6.420719","6.391084","5.967956","5.914401",
"80000000.000000","18.050836","9.635016","6.440663","6.588944","6.569338","6.125161","6.076396",
"82000000.000000","18.630757","9.902308","6.605162","6.758008","6.748713","6.282557","6.239346",
"84000000.000000","19.216730","10.171839","6.769202","6.927374","6.929294","6.440377","6.403103",
"86000000.000000","19.810479","10.443240","6.934290","7.095242","7.110773","6.598982","6.567869",
"88000000.000000","20.410069","10.715986","7.099741","7.265455","7.292755","6.758043","6.733131",
"90000000.000000","21.017953","10.991096","7.265578","7.434262","7.475780","6.917261","6.899415",
"92000000.000000","21.631207","11.268391","7.431855","7.604508","7.659426","7.077683","7.066801",
"94000000.000000","22.249910","11.547130","7.598219","7.774700","7.843858","7.237804","7.235054",
"96000000.000000","22.876255","11.827595","7.764369","7.945005","8.029476","7.398587","7.404564",
"98000000.000000","23.509332","12.110144","7.931747","8.115820","8.216108","7.559396","7.574738",
"100000000.000000","24.148518","12.395273","8.098864","8.286576","8.404420","7.720680","7.746002",
"102000000.000000","24.795087","12.682608","8.265992","8.458373","8.593597","7.882093","7.917612",
"104000000.000000","25.448515","12.971317","8.433932","8.631299","8.783819","8.044051","8.090541",
"106000000.000000","26.109272","13.262868","8.602190","8.804442","8.975140","8.206380","8.264898",
"108000000.000000","26.775942","13.556314","8.770705","8.977487","9.167683","8.369334","8.440752",
"110000000.000000","27.449485","13.852229","8.939066","9.150339","9.362127","8.532229","8.617508",
"112000000.000000","28.129882","14.150920","9.107432","9.324486","9.557281","8.695207","8.795085",
"114000000.000000","28.817351","14.451474","9.275041","9.497780","9.754735","8.859263","8.973850",
"116000000.000000","29.511382","14.754947","9.444221","9.669936","9.953287","9.024100","9.153833",
"118000000.000000","30.211457","15.061005","9.614318","9.842606","10.152461","9.189445","9.335460",
"120000000.000000","30.918197","15.370078","9.783982","10.017951","10.353400","9.355417","9.518856",
"122000000.000000","31.632756","15.681363","9.953841","10.193795","10.556087","9.522009","9.703883",
"124000000.000000","32.352986","15.994137","10.124131","10.368724","10.760649","9.689016","9.890351",
"126000000.000000","33.080385","16.311431","10.295255","10.545107","10.967513","9.856533","10.078963",
"128000000.000000","33.814854","16.631437","10.467089","10.719998","11.175923","10.024708","10.269643",
"130000000.000000","34.555219","16.953290","10.638503","10.895901","11.386611","10.193100","10.461847",
"132000000.000000","35.303151","17.278268","10.810370","11.072855","11.599853","10.362413","10.656551",
"134000000.000000","36.058795","17.606499","10.982511","11.249907","11.813886","10.531574","10.853550",
"136000000.000000","36.820827","17.937795","11.155218","11.427506","12.030319","10.701541","16.937809",
"138000000.000000","37.589371","18.271745","11.327922","11.605799","12.249809","10.872517","17.101807",
"140000000.000000","38.364524","18.608582","11.501255","11.784650","12.472008","11.043606","17.266382",
"142000000.000000","39.146736","18.948069","11.674967","11.962764","12.697477","11.215479","17.431253",
"144000000.000000","39.936502","19.291606","11.848987","12.141253","12.925536","11.388166","17.596544",
"146000000.000000","40.732337","19.637544","12.024170","12.320385","13.156100","11.561641","17.761749",
"148000000.000000","41.535674","19.986495","12.199279","12.499405","13.389818","11.735204","17.927176",
"150000000.000000","42.344787","20.338850","12.375097","12.681008","13.627012","11.909207","18.093026",
"152000000.000000","43.159537","20.693800","12.550887","12.862009","13.868366","12.083854","18.259237",
"154000000.000000","43.982105","21.053253","12.726601","13.044243","14.113194","12.259666","18.425290",
"156000000.000000","44.810383","21.415402","12.903369","13.225335","14.362194","12.436087","18.592047",
"158000000.000000","45.646917","21.780196","13.080053","13.407375","14.616865","12.613601","18.758965",
"160000000.000000","46.490500","22.148716","13.257042","13.591394","14.875280","12.791361","18.926305",
"162000000.000000","47.339455","22.520004","13.434780","13.776001","15.138271","12.970129","19.094024",
"164000000.000000","48.195760","22.895612","13.612692","13.960961","15.407239","13.150087","19.262174",
"166000000.000000","49.058411","23.273541","13.791535","14.146271","15.681765","13.330612","19.430608",
"168000000.000000","49.928546","23.653360","13.970222","14.332235","15.960739","13.512136","19.598940",
"170000000.000000","50.804490","24.036416","14.149130","14.518894","16.246437","13.694659","19.767540",
"172000000.000000","51.688495","24.424576","14.328419","14.703922","16.538312","13.878059","19.936685",
"174000000.000000","52.580210","24.816778","14.508167","14.888771","16.836891","14.062181","20.106494",
"176000000.000000","53.477576","25.210505","14.688656","15.073298","17.142720","14.247298","20.276545",
"178000000.000000","54.381434","25.608418","14.869054","15.259278","17.455565","14.433125","20.447422",
"180000000.000000","55.291464","26.009524","15.050135","15.446310","17.775620","14.619519","20.618606",
