"[count]","uHashT [sec]","cHashT [sec]","iHashT_u8h [sec]","iHashT_u8f [sec]","iHashT_u16 [sec]","dHashT [sec]","fHashT [sec]",
"0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",
"2000000.000000","0.638067","0.406102","0.166539","0.209486","0.359892","0.147396","0.154112",
"4000000.000000","1.452889","0.870350","0.350279","0.438790","0.778788","0.317091","0.324544",
"6000000.000000","2.455307","1.552280","0.590529","0.630741","1.274518","0.537228","0.554081",
"8000000.000000","3.159632","1.844454","0.726112","0.941402","1.698949","0.673699","0.677182",
"10000000.000000","4.595033","3.090533","1.102876","1.118302","2.334868","1.025098","1.029595",
"12000000.000000","5.236839","3.349874","1.237606","1.365018","2.568966","1.147558","1.150877",
"14000000.000000","5.929725","3.644363","1.384177","1.835146","2.916128","1.283091","1.283519",
"16000000.000000","6.672054","3.975049","1.544939","2.004546","3.516475","1.435779","1.428919",
"18000000.000000","9.055855","6.230555","2.221627","2.193671","4.783109","1.915504","2.050114",
"20000000.000000","9.682762","6.503618","2.368674","2.409376","4.991119","2.041283","2.184074",
"22000000.000000","10.341899","6.795467","2.520332","2.663090","5.233830","2.172493","2.323842",
"24000000.000000","11.029240","7.107142","2.677318","2.966553","5.526857","2.311752","2.468619",
"26000000.000000","11.748735","7.441177","2.840580","3.868251","5.881223","2.460113","2.618616",
"28000000.000000","12.500292","7.796508","3.009000","4.042266","6.300889","2.619335","2.774187",
"30000000.000000","13.284169","8.168868","3.183760","4.226061","6.808419","2.789358","2.935385",
"32000000.000000","14.098614","8.560011","3.366031","4.418112","7.564685","2.970764","3.103008",
"34000000.000000","14.946502","13.442199","4.945355","4.619166","9.921141","4.072280","4.615778",
"36000000.000000","15.825928","13.736529","5.106718","4.832645","10.123410","4.214230","4.764317",
"38000000.000000","20.199074","14.042674","5.270517","5.060009","10.338039","4.358587","4.915134",
"40000000.000000","20.910142","14.359505","5.436555","5.303170","10.570889","4.506913","5.067654",
"42000000.000000","21.640930","14.685503","5.605131","5.565647","10.821671","4.658958","5.222464",
"44000000.000000","22.392409","15.020686","5.775528","5.851438","11.094790","4.814752","5.379094",
"46000000.000000","23.162338","15.369176","5.948139","6.165044","11.395218","4.975638","5.537701",
"48000000.000000","23.952205","15.729158","6.123292","6.507405","11.725420","5.140312","5.698509",
"50000000.000000","24.760378","16.100357","6.299064","6.880908","12.088794","5.309662","5.862012",
"52000000.000000","25.588920","16.484089","6.476174","8.680290","12.482925","5.483188","6.027175",
"54000000.000000","26.435032","16.880105","6.655280","8.866092","12.908206","5.662029","6.195004",
"56000000.000000","27.302394","17.287185","6.836749","9.055298","13.367188","5.845994","6.364916",
"58000000.000000","28.187146","17.705447","7.020996","9.248695","13.865045","6.035369","6.537249",
"60000000.000000","29.090033","18.137194","7.208784","9.446851","14.419706","6.230209","6.712472",
"62000000.000000","30.012384","18.579684","7.400025","9.647105","15.070059","6.430313","6.890568",
"64000000.000000","30.951870","19.034683","7.594854","9.851775","15.959774","6.635535","7.073044",
"66000000.000000","31.911791","19.500613","7.794166","10.062681","18.228629","6.845279","7.260155",
"68000000.000000","32.889685","30.680783","10.966194","10.277436","20.825137","9.007335","10.415365",
"70000000.000000","33.886494","31.002514","11.134662","10.497652","21.038101","9.167480","10.574141",
"72000000.000000","34.901165","31.327862","11.304255","10.725150","21.257084","9.329253","10.733453",
"74000000.000000","35.936084","31.657569","11.474016","10.957913","21.483015","9.492503","10.893657",
"76000000.000000","45.581934","31.991191","11.644323","11.198734","21.715511","9.657429","11.054333",
"78000000.000000","46.396877","32.332353","11.815938","11.449966","21.955365","9.823855","11.215575",
"80000000.000000","47.222030","32.680473","11.987920","11.709118","22.203542","9.991449","11.377566",
"82000000.000000","48.057641","33.034173","12.161334","11.976722","22.461113","10.160831","11.540751",
"84000000.000000","48.903040","33.393163","12.336676","12.255812","22.728577","10.332063","11.704543",
"86000000.000000","49.759351","33.758805","12.512075","12.547100","23.007594","10.505577","11.869385",
"88000000.000000","50.625329","34.132451","12.687884","12.851207","23.299053","10.680957","12.034726",
"90000000.000000","51.500421","34.511542","12.864948","13.170412","23.605020","10.857662","12.201110",
"92000000.000000","52.386195","34.897543","13.043458","13.504160","23.926499","11.036250","12.368236",
"94000000.000000","53.280626","35.290028","13.222297","13.853167","24.263343","11.217523","12.536405",
"96000000.000000","54.185272","35.689141","13.402640","14.217609","24.616552","11.400466","12.705291",
"98000000.000000","55.099788","36.093141","13.583816","17.651786","24.985200","11.585310","12.875365",
"100000000.000000","56.024332","36.504445","13.766221","17.839973","25.370501","11.772248","13.046775",
"102000000.000000","56.958245","36.922828","13.949276","18.031928","25.771894","11.961347","13.218480",
"104000000.000000","57.900857","37.347486","14.133988","18.224882","26.188794","12.152559","13.391527",
"106000000.000000","58.853642","37.777048","14.320044","18.418776","26.623091","12.345668","13.564897",
"108000000.000000","59.816098","38.214337","14.506942","18.613644","27.074354","12.541369","13.739872",
"110000000.000000","60.786364","38.657588","14.695516","18.810433","27.542541","12.738962","13.915716",
"112000000.000000","61.767941","39.107900","14.885288","19.007518","28.028684","12.938720","14.092946",
"114000000.000000","62.759166","39.562595","15.076464","19.205957","28.532656","13.141094","14.271505",
"116000000.000000","63.759055","40.024294","15.268535","19.405898","29.057370","13.346064","14.451887",
"118000000.000000","64.767956","40.493765","15.460773","19.608911","29.608569","13.553524","14.633330",
"120000000.000000","65.786861","40.968420","15.654835","19.810143","30.194181","13.763389","14.815886",
