"[count]","uHashT [sec]","cHashT [sec]","iHashT_u8h [sec]","iHashT_u8f [sec]","iHashT_u16 [sec]","dHashT [sec]","fHashT [sec]",
"0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",
"2000000.000000","0.647013","0.397661","0.166976","0.206255","0.354063","0.147306","0.154096",
"4000000.000000","1.464558","0.857766","0.350310","0.446731","0.767412","0.317478","0.325315",
"6000000.000000","2.458694","1.575185","0.592203","0.636885","1.241405","0.538183","0.555595",
"8000000.000000","3.162429","1.866101","0.728195","0.966650","1.666685","0.675193","0.679478",
"10000000.000000","4.601168","3.118961","1.107975","1.149301","2.389170","1.027715","1.033075",
"12000000.000000","5.244310","3.377662","1.241862","1.401625","2.629736","1.150610","1.154289",
"14000000.000000","5.939525","3.673512","1.387137","1.886950","2.982437","1.286724","1.286982",
"16000000.000000","6.685692","4.002977","1.546503","2.054565","3.583486","1.439490","1.432347",
"18000000.000000","9.068072","6.389729","2.233839","2.242617","4.901571","1.918068","2.060126",
"20000000.000000","9.697219","6.653732","2.379060","2.459053","5.111803","2.041967","2.194733",
"22000000.000000","10.358731","6.938952","2.529394","2.715167","5.357457","2.173299","2.334096",
"24000000.000000","11.049072","7.243638","2.685096","3.022790","5.654057","2.312183","2.478920",
"26000000.000000","11.771222","7.572752","2.847048","3.892650","6.012421","2.461823","2.629568",
"28000000.000000","12.525624","7.922373","3.014938","4.067003","6.435967","2.623730","2.785180",
"30000000.000000","13.312247","8.292313","3.189943","4.249187","6.946723","2.794316","2.946649",
"32000000.000000","14.131070","8.683249","3.372778","4.437604","7.709593","2.975881","3.115165",
"34000000.000000","14.984364","13.307862","4.967894","4.635722","9.925187","4.086779","4.645789",
"36000000.000000","15.870116","13.602042","5.127499","4.849248","10.128450","4.228195","4.794976",
"38000000.000000","20.238529","13.906038","5.289167","5.076454","10.347438","4.373126","4.946669",
"40000000.000000","20.952272","14.221937","5.452526","5.320615","10.581447","4.522032","5.099549",
"42000000.000000","21.685371","14.548693","5.618031","5.586325","10.834127","4.674266","5.253862",
"44000000.000000","22.439842","14.885942","5.786329","5.872983","11.109089","4.830134","5.410633",
"46000000.000000","23.213715","15.234701","5.956958","6.189149","11.411232","4.990685","5.570041",
"48000000.000000","24.004573","15.595655","6.129279","6.535409","11.743521","5.155760","5.730897",
"50000000.000000","24.816630","15.968446","6.303676","8.385217","12.108692","5.325497","5.894139",
"52000000.000000","25.646442","16.353382","6.481226","8.567661","12.506243","5.500094","6.059622",
"54000000.000000","26.496739","16.749915","6.660631","8.754966","12.936794","5.679655","6.227606",
"56000000.000000","27.365781","17.157673","6.842387","8.944665","13.402208","5.863669","6.397510",
"58000000.000000","28.254134","17.576829","7.026853","9.137909","13.906929","6.053285","6.570240",
"60000000.000000","29.161403","18.008287","7.214535","9.335558","14.467890","6.248584","6.746126",
"62000000.000000","30.088868","18.451548","7.405293","9.536238","15.125794","6.449089","6.925541",
"64000000.000000","31.035717","18.906685","7.598998","9.742654","16.025117","6.654576","7.108545",
"66000000.000000","32.000161","19.376153","7.797037","9.953976","18.267903","6.865778","7.295946",
"68000000.000000","32.984236","30.474925","11.011400","10.170215","20.602746","9.031922","10.454874",
"70000000.000000","33.985709","30.790017","11.179547","10.392203","20.817255","9.192763","10.614272",
"72000000.000000","35.005602","31.110775","11.347969","10.620443","21.036751","9.354899","10.773734",
"74000000.000000","36.043695","31.437892","11.519065","10.856029","21.262095","9.518868","10.934734",
"76000000.000000","45.716037","31.771532","11.689466","11.098525","21.493762","9.684052","11.095607",
"78000000.000000","46.534310","32.110256","11.861288","11.349637","21.733741","9.851987","11.257288",
"80000000.000000","47.360537","32.455794","12.033470","11.611042","21.982834","10.020737","11.420004",
"82000000.000000","48.198302","32.807921","12.207028","11.882935","22.242402","10.190666","11.583372",
"84000000.000000","49.045275","33.164553","12.382337","12.166692","22.511757","10.362484","11.747478",
"86000000.000000","49.901888","33.527657","12.558066","12.462565","22.792586","10.535702","11.912231",
"88000000.000000","50.769951","33.897162","12.734136","12.772036","23.086909","10.711131","12.078999",
"90000000.000000","51.646776","34.273044","12.911664","13.095238","23.395093","10.888514","12.245689",
"92000000.000000","52.533644","34.654378","13.089647","13.434008","23.718851","11.067624","12.413251",
"94000000.000000","53.431090","35.043036","13.268565","13.788508","24.058457","11.248785","12.581631",
"96000000.000000","54.336731","35.438180","13.448635","14.157292","24.413724","11.432121","12.750906",
"98000000.000000","55.252839","35.839895","13.630277","14.542479","24.785638","11.617432","12.921787",
"100000000.000000","56.179226","36.248592","13.812500","14.943320","25.175555","11.804904","13.093217",
"102000000.000000","57.115302","36.662514","13.995116","18.216169","25.581298","11.994388","13.265826",
"104000000.000000","58.061002","37.084451","14.179020","18.406301","26.003330","12.185598","13.439797",
"106000000.000000","59.016532","37.512539","14.363670","18.599032","26.441273","12.379950","13.614302",
"108000000.000000","59.981384","37.946432","14.549604","18.791487","26.896806","12.576288","13.789528",
"110000000.000000","60.956703","38.387488","14.737023","18.987447","27.369242","12.775262","13.966269",
"112000000.000000","61.941123","38.835247","14.926149","19.185388","27.858812","12.975708","14.143812",
"114000000.000000","62.935028","39.291754","15.116732","19.386253","28.367545","13.178388","14.322781",
"116000000.000000","63.936888","39.754199","15.308940","19.589099","28.897911","13.383803","14.502936",
"118000000.000000","64.949172","40.222281","15.502667","19.792940","29.455255","13.591919","14.684717",
"120000000.000000","65.970465","40.696497","15.697594","19.998463","30.045614","13.802003","14.868927",
"122000000.000000","67.002986","41.177466","15.894097","20.206763","30.681827","14.014455","15.053772",
"124000000.000000","68.043543","41.665443","16.092404","20.416625","31.384685","14.229986","15.240806",
"126000000.000000","69.092979","42.159266","16.292524","20.628329","32.196593","14.447367","15.429484",
"128000000.000000","70.152629","42.658648","16.494528","20.842347","33.208992","14.667006","15.620446",
"130000000.000000","71.220991","43.166401","16.698954","21.058234","34.687575","14.888763","15.813191",
"132000000.000000","72.298833","43.679176","16.905160","21.275013","37.806848","15.112445","16.007884",
"134000000.000000","73.384276","44.198140","17.113492","21.494999","42.269151","15.338705","16.205426",
"136000000.000000","74.481421","61.670813","23.269682","21.717845","42.482166","19.426158","22.300546",
"138000000.000000","75.586924","62.091703","23.443263","21.943480","42.699076","19.597141","22.464458",
"140000000.000000","76.701419","62.431596","23.617297","22.171187","42.920389","19.768553","22.628908",
"142000000.000000","77.825676","62.773119","23.791327","22.403883","43.145337","19.940816","22.793964",
"144000000.000000","78.958376","63.116587","23.966083","22.637618","43.373074","20.114371","22.959294",
"146000000.000000","80.099826","63.462434","24.141188","22.876148","43.603131","20.288099","23.124312",
"148000000.000000","81.249590","63.811228","24.316341","23.119285","43.837151","20.462177","23.290261",
"150000000.000000","82.409002","64.162938","24.491533","23.365915","44.074528","20.637240","23.456217",
"152000000.000000","104.028835","64.517001","24.667374","23.615570","44.315486","20.812831","23.621869",
"154000000.000000","104.922518","64.874666","24.843580","23.869861","44.560834","20.989576","23.789251",
"156000000.000000","105.820797","65.234170","25.020616","24.128265","44.809838","21.167045","23.956362",
"158000000.000000","106.723087","65.596559","25.197328","24.391880","45.063515","21.345070","24.123746",
"160000000.000000","107.629888","65.962625","25.374991","24.660580","45.321919","21.524357","24.291424",
"162000000.000000","108.542391","66.332125","25.553149","24.934827","45.584850","21.704008","24.459127",
"164000000.000000","109.458186","66.705297","25.731306","25.215253","45.853427","21.884443","24.627351",
"166000000.000000","110.379461","67.079993","25.908654","25.501858","46.127494","22.065233","24.796195",
"168000000.000000","111.306403","67.458693","26.086133","25.794435","46.406716","22.247082","24.965440",
"170000000.000000","112.238447","67.841332","26.264998","26.092412","46.691932","22.429694","25.135239",
"172000000.000000","113.175461","68.226099","26.444542","26.397994","46.983854","22.613604","25.305092",
"174000000.000000","114.116028","68.614662","26.624542","26.710318","47.282695","22.798173","25.475624",
"176000000.000000","115.062216","69.006277","26.805001","27.030712","47.588254","22.984052","25.646382",
"178000000.000000","116.014166","69.401067","26.986544","27.357439","47.900891","23.170243","25.817637",
"180000000.000000","116.970638","69.799724","27.167704","27.691595","48.221177","23.356930","25.989111",
"182000000.000000","117.932609","70.201439","27.349320","28.034014","48.549004","23.544561","26.160845",
"184000000.000000","118.897507","70.607519","27.531487","28.383799","48.886080","23.733526","26.333272",
"186000000.000000","119.868322","71.017156","27.714010","28.740620","49.229603","23.923758","26.506287",
"188000000.000000","120.843799","71.429562","27.896659","29.106034","49.582026","24.114626","26.679684",
"190000000.000000","121.822786","71.845279","28.080055","29.479576","49.941936","24.307089","26.853583",
"192000000.000000","122.804552","72.265551","28.264437","29.862510","50.312210","24.500121","27.026993",
"194000000.000000","123.793671","72.688208","28.449870","36.199584","50.689903","24.693788","27.201590",
"196000000.000000","124.787226","73.114264","28.634927","36.392923","51.076176","24.888669","27.376392",
"198000000.000000","125.784107","73.544290","28.820008","36.587335","51.471087","25.084369","27.551526",
"200000000.000000","126.787739","73.977890","29.006099","36.780576","51.875457","25.281167","27.727098",
