"[count]","uHashT [sec]","cHashT [sec]","iHashT_u8h [sec]","iHashT_u8f [sec]","iHashT_u16 [sec]","dHashT [sec]","fHashT [sec]",
"0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",
"2000000.000000","0.637572","0.405866","0.166738","0.210726","0.376544","0.147851","0.155273",
"4000000.000000","1.456147","0.868903","0.350516","0.453100","0.782564","0.317827","0.326785",
"6000000.000000","2.463579","1.592753","0.592177","0.646120","1.274695","0.538442","0.556864",
"8000000.000000","3.170292","1.890694","0.728877","0.946442","1.708245","0.675407","0.680465",
"10000000.000000","4.603867","3.206800","1.102805","1.125033","2.453056","1.028428","1.033222",
"12000000.000000","5.248204","3.469168","1.238463","1.380300","2.700054","1.151098","1.155061",
"14000000.000000","5.943188","3.763746","1.385735","1.839298","3.060008","1.287840","1.287966",
"16000000.000000","6.688826","4.092758","1.547533","2.006990","3.662954","1.442074","1.433713",
"18000000.000000","9.078422","6.605307","2.222261","2.195899","4.673209","1.919184","2.059655",
"20000000.000000","9.708877","6.879261","2.370362","2.413114","4.880840","2.043314","2.194872",
"22000000.000000","10.370828","7.172940","2.523713","2.675114","5.126552","2.174628","2.334384",
"24000000.000000","11.061531","7.488385","2.682254","2.993347","5.426726","2.313989","2.479677",
"26000000.000000","11.784483","7.825334","2.846286","3.370840","5.791404","2.463764","2.629871",
"28000000.000000","12.538054","8.184157","3.015945","4.123188","6.219278","2.623083","2.786000",
"30000000.000000","13.325946","8.563212","3.191928","4.304464","6.732715","2.793202","2.948010",
"32000000.000000","14.143694","8.962592","3.375281","4.496322","7.496786","2.974998","3.117579",
"34000000.000000","14.995109","14.144929","4.958122","4.699661","9.482848","4.076906","4.628479",
"36000000.000000","15.877190","14.440869","5.118985","4.915522","9.690288","4.219697","4.778332",
"38000000.000000","20.246351","14.747549","5.280991","5.145765","9.911408","4.365727","4.929804",
"40000000.000000","20.960919","15.065459","5.445477","5.388712","10.149918","4.514426","5.082308",
"42000000.000000","21.694360","15.395281","5.611779","5.653214","10.409570","4.666852","5.237079",
"44000000.000000","22.448797","15.736693","5.781036","5.943695","10.693548","4.823077","5.393638",
