"[count]","uHashT [%]","cHashT [%]","iHashT_u8h [%]","iHashT_u8 [%]","iHashT_u16 [%]","dHashT [%]","fHashT [%]",
"4.000000","0.500000","1.000000","0.513514","1.000000","1.000000","0.500000","0.500000",
"10.000000","0.800000","0.800000","0.512821","1.000000","1.000000","0.500000","0.500000",
"22.000000","0.909091","0.727273","0.511628","1.000000","1.000000","0.500000","0.500000",
"46.000000","0.956522","0.800000","0.509804","1.000000","1.000000","0.500000","0.500000",
"96.000000","0.978723","0.727273","0.514706","1.000000","1.000000","0.500000","0.500000",
"198.000000","0.989691","0.735632","0.509804","1.000000","0.990196","0.500000","0.500000",
"408.000000","0.994975","0.731429","0.505882","1.000000","0.988235","0.500000","0.500000",
"822.000000","0.997555","0.717087","0.501639","0.993443","0.996721","0.500000","0.500000",
"1740.000000","0.998785","0.725212","0.500870","0.907826","0.994783","0.500000","0.500000",
"3738.000000","0.999426","0.727790","0.500448","0.841256","0.991928","0.500000","0.500000",
"7516.000000","0.999733","0.727273","0.500455","0.864754","0.993625","0.500000","0.500000",
"15172.000000","0.999867","0.731559","0.500230","0.891954","0.998851","0.500000","0.500000",
"30726.000000","0.999934","0.732803","0.500118","0.856145","0.998934","0.500000","0.500000",
"62232.000000","0.999967","0.732246","0.500060","0.863986","0.999399","0.500000","0.500000",
"126270.000000","0.999984","0.730125","0.500030","0.876991","0.999849","0.500000","0.500000",
"256278.000000","0.999992","0.731012","0.500015","0.824092","0.999392","0.500000","0.500000",
"520240.000000","0.999996","0.731004","0.500008","0.821018","0.996954","0.500000","0.500000",
"1056322.000000","0.999998","0.730906","0.500004","0.830471","0.996090","0.500000","0.500000",
"2144976.000000","0.999999","0.730884","0.500002","0.826649","0.996242","0.500000","0.500000",
"4355706.000000","1.000000","0.731009","0.500001","0.817464","0.994455","0.000000","0.500000",
"8844858.000000","1.000000","0.731072","0.500000","0.810622","0.992519","0.000000","0.500000",
"0.000000","0.000000","0.731068","0.500000","0.804930","0.991000","0.000000","0.500000",
"0.000000","0.000000","0.000000","0.500000",
