"[count]","uHashT [sec]","cHashT [sec]","iHashT_u8h [sec]","iHashT_u8 [sec]","iHashT_u16 [sec]","dHashT [sec]","fHashT [sec]",
"0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",
"50000.000000","0.007021","0.001208","0.002721","0.002679","0.002679","0.003440","0.002471",
"100000.000000","0.014027","0.002224","0.005184","0.005108","0.005094","0.006568","0.004645",
"150000.000000","0.021082","0.003303","0.007626","0.007587","0.007551","0.009669","0.006899",
"200000.000000","0.028229","0.004465","0.010117","0.010027","0.010007","0.012788","0.009132",
"250000.000000","0.035431","0.005594","0.012606","0.012466","0.012571","0.015903","0.011335",
"300000.000000","0.042730","0.006729","0.015074","0.014977","0.015048","0.019024","0.013557",
"350000.000000","0.050116","0.007865","0.017587","0.017432","0.017522","0.022153","0.015761",
"400000.000000","0.057588","0.009029","0.020104","0.019886","0.019961","0.025276","0.018043",
"450000.000000","0.065139","0.010210","0.022577","0.022370","0.022443","0.028407","0.020289",
"500000.000000","0.072777","0.011384","0.025114","0.024868","0.024912","0.031539","0.022523",
"550000.000000","0.080479","0.012563","0.027643","0.027351","0.027377","0.034679","0.024794",
"600000.000000","0.088465","0.013768","0.030148","0.029879","0.029893","0.037815","0.027024",
"650000.000000","0.096346","0.014958","0.032663","0.032387","0.032413","0.040951","0.029281",
"700000.000000","0.104318","0.016185","0.035222","0.034890","0.034880","0.044088","0.031553",
"750000.000000","0.112360","0.017392","0.037745","0.037443","0.037413","0.047239","0.033808",
"800000.000000","0.120493","0.018632","0.040322","0.039993","0.039942","0.050385","0.036118",
"850000.000000","0.128703","0.019871","0.042867","0.042707","0.042452","0.053533","0.038382",
"900000.000000","0.137003","0.021145","0.045445","0.045349","0.044989","0.056694","0.040654",
"950000.000000","0.145395","0.022414","0.048044","0.048003","0.047541","0.059844","0.042979",
"1000000.000000","0.153902","0.023701","0.050641","0.050605","0.050074","0.062989","0.045295",
"1050000.000000","0.162519","0.025025","0.053182","0.053177","0.052645","0.066260","0.047570",
"1100000.000000","0.171220","0.026327","0.055787","0.055763","0.055234","0.069425","0.049916",
"1150000.000000","0.180002","0.027663","0.058410","0.058371","0.057825","0.072572","0.052242",
"1200000.000000","0.188858","0.029006","0.061059","0.061002","0.060412","0.075748","0.054596",
"1250000.000000","0.197810","0.030355","0.063692","0.063665","0.063028","0.078931","0.056944",
"1300000.000000","0.206840","0.031742","0.066349","0.066335","0.065624","0.082107","0.059296",
"1350000.000000","0.215992","0.033123","0.069014","0.068976","0.068232","0.085290","0.061665",
"1400000.000000","0.225229","0.034553","0.071701","0.071672","0.070883","0.088460","0.064059",
"1450000.000000","0.234553","0.035961","0.074379","0.074387","0.073531","0.091649","0.066436",
"1500000.000000","0.243939","0.037380","0.077103","0.077069","0.076192","0.094853","0.068815",
"1550000.000000","0.253485","0.038857","0.079809","0.079781","0.078839","0.098048","0.071206",
"1600000.000000","0.263105","0.040336","0.082524","0.082538","0.081547","0.101247","0.073633",
"1650000.000000","0.272865","0.041850","0.085254","0.085303","0.084197","0.104452","0.076038",
"1700000.000000","0.282690","0.043381","0.088005","0.088056","0.086928","0.107651","0.078424",
