"[count]","uHashT [sec]","cHashT [sec]","iHashT_u8h [sec]","iHashT_u8 [sec]","iHashT_u16 [sec]","dHashT [sec]","fHashT [sec]",
"0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",
"50000.000000","0.007154","0.001254","0.002697","0.002719","0.002622","0.003363","0.002508",
"100000.000000","0.014172","0.002213","0.005126","0.005142","0.005029","0.006472","0.004720",
"150000.000000","0.021230","0.003274","0.007633","0.007626","0.007472","0.009591","0.006945",
"200000.000000","0.028394","0.004311","0.010119","0.010103","0.009902","0.012713","0.009153",
"250000.000000","0.035646","0.005433","0.012571","0.012564","0.012340","0.015825","0.011355",
"300000.000000","0.042948","0.006562","0.015068","0.015061","0.014823","0.018936","0.013569",
"350000.000000","0.050326","0.007721","0.017581","0.017561","0.017283","0.022068","0.015846",
"400000.000000","0.057802","0.008879","0.020039","0.020015","0.019733","0.025195","0.018077",
"450000.000000","0.065357","0.010038","0.022587","0.022539","0.022248","0.028312","0.020317",
"500000.000000","0.072985","0.011211","0.025072","0.025052","0.024729","0.031453","0.022597",
"550000.000000","0.080713","0.012385","0.027563","0.027530","0.027201","0.034586","0.024837",
"600000.000000","0.088504","0.013596","0.030104","0.030065","0.029655","0.037714","0.027109",
"650000.000000","0.096401","0.014785","0.032651","0.032617","0.032182","0.040856","0.029386",
"700000.000000","0.104372","0.015995","0.035150","0.035183","0.034679","0.044003","0.031644",
"750000.000000","0.112421","0.017212","0.037702","0.037712","0.037215","0.047149","0.033942",
"800000.000000","0.120559","0.018459","0.040282","0.040296","0.039741","0.050304","0.036225",
"850000.000000","0.128789","0.019703","0.042849","0.042803","0.042256","0.053459","0.038516",
"900000.000000","0.137112","0.020963","0.045407","0.045389","0.044803","0.056601","0.040837",
"950000.000000","0.145477","0.022254","0.047978","0.047977","0.047354","0.059764","0.043114",
"1000000.000000","0.153963","0.023536","0.050544","0.050583","0.049887","0.062916","0.045458",
"1050000.000000","0.162553","0.024830","0.053152","0.053150","0.052449","0.066081","0.047786",
"1100000.000000","0.171233","0.026156","0.055807","0.055785","0.054974","0.069249","0.050116",
"1150000.000000","0.180001","0.027491","0.058438","0.058409","0.057524","0.072414","0.052460",
"1200000.000000","0.188849","0.028826","0.061054","0.061053","0.060135","0.075574","0.054776",
"1250000.000000","0.197791","0.030187","0.063703","0.063685","0.062733","0.078761","0.057130",
"1300000.000000","0.206845","0.031568","0.066391","0.066343","0.065348","0.081931","0.059507",
"1350000.000000","0.216001","0.032947","0.069066","0.068977","0.067990","0.085106","0.061882",
"1400000.000000","0.225233","0.034353","0.071717","0.071667","0.070629","0.088305","0.064247",
"1450000.000000","0.234559","0.035775","0.074415","0.074331","0.073273","0.091492","0.066637",
"1500000.000000","0.244064","0.037215","0.077119","0.076990","0.075904","0.094679","0.069018",
"1550000.000000","0.253593","0.038684","0.079808","0.079677","0.078583","0.097873","0.071425",
"1600000.000000","0.263254","0.040174","0.082532","0.082394","0.081261","0.101073","0.073835",
"1650000.000000","0.272920","0.041656","0.085248","0.085113","0.083945","0.104274","0.076251",
"1700000.000000","0.282799","0.043169","0.088011","0.087867","0.086627","0.107479","0.078683",
"1750000.000000","0.292708","0.044716","0.090802","0.090620","0.089356","0.110688","0.081126",
"1800000.000000","0.302737","0.046289","0.093611","0.093415","0.092076","0.113897","0.083546",
"1850000.000000","0.312833","0.047880","0.096404","0.096224","0.094786","0.117124","0.086020",
"1900000.000000","0.323179","0.049485","0.099228","0.099024","0.097568","0.120337","0.088491",
"1950000.000000","0.333503","0.051114","0.102033","0.101834","0.100347","0.123570","0.090967",
"2000000.000000","0.344090","0.052786","0.104993","0.104682","0.103118","0.126800","0.093458",
"2050000.000000","0.354642","0.054469","0.107888","0.107538","0.105900","0.130024","0.095971",
"2100000.000000","0.365265","0.056161","0.110765","0.110397","0.108708","0.133264","0.098477",
"2150000.000000","0.376013","0.057895","0.113673","0.113294","0.111545","0.136524","0.101011",
"2200000.000000","0.386834","0.059656","0.116596","0.116455","0.114362","0.139757","0.103536",
"2250000.000000","0.397774","0.061441","0.119520","0.119413","0.117213","0.142992","0.106103",
"2300000.000000","0.408753","0.063259","0.122470","0.122341","0.120075","0.146253","0.108672",
"2350000.000000","0.419911","0.065105","0.125433","0.125326","0.122951","0.149501","0.111228",
"2400000.000000","0.431222","0.066986","0.128397","0.128288","0.125848","0.152752","0.113812",
"2450000.000000","0.442697","0.068890","0.131409","0.131306","0.128752","0.156036","0.116418",
"2500000.000000","0.454141","0.070791","0.134447","0.134339","0.131660","0.159304","0.119009",
"2550000.000000","0.465728","0.072733","0.137493","0.137376","0.134623","0.162569","0.121629",
"2600000.000000","0.477559","0.074729","0.140546","0.140415","0.137572","0.165841","0.124274",
"2650000.000000","0.489286","0.076746","0.143626","0.143498","0.140531","0.169122","0.126922",
"2700000.000000","0.501102","0.078786","0.146739","0.146605","0.143519","0.172401","0.129571",
"2750000.000000","0.513183","0.080856","0.149867","0.149716","0.146524","0.175695","0.132233",
"2800000.000000","0.525332","0.083009","0.153015","0.152855","0.149549","0.179005","0.134937",
"2850000.000000","0.537468","0.085177","0.156188","0.156011","0.152584","0.182318","0.137634",
"2900000.000000","0.549706","0.087373","0.159358","0.159198","0.155639","0.185630","0.140351",
"2950000.000000","0.562032","0.089613","0.162567","0.162387","0.158717","0.188939","0.143103",
"3000000.000000","0.574459","0.091898","0.165785","0.165617","0.161805","0.192265","0.145858",
"3050000.000000","0.587010","0.094232","0.169052","0.168860","0.164926","0.195588","0.148616",
"3100000.000000","0.599655","0.096604","0.172323","0.172128","0.168062","0.198915","0.151388",
"3150000.000000","0.612408","0.099021","0.175610","0.175427","0.171185","0.202257","0.154173",
"3200000.000000","0.625451","0.101383","0.178923","0.178710","0.174504","0.205595","0.156977",
