"[count]","uHashT [sec]","cHashT [sec]","iHashT_u8h [sec]","iHashT_u8 [sec]","iHashT_u16 [sec]","dHashT [sec]","fHashT [sec]",
"0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",
"50000.000000","0.007147","0.001193","0.002688","0.002720","0.002683","0.003340","0.002489",
"100000.000000","0.014333","0.002286","0.005151","0.005163","0.005141","0.006425","0.004646",
"150000.000000","0.021418","0.003338","0.007642","0.007668","0.007574","0.009510","0.006895",
"200000.000000","0.028567","0.004442","0.010124","0.010145","0.010056","0.012609","0.009138",
"250000.000000","0.035834","0.005480","0.012604","0.012609","0.012519","0.015709","0.011345",
"300000.000000","0.043155","0.006650","0.015072","0.015080","0.015093","0.018805","0.013597",
"350000.000000","0.050553","0.007756","0.017579","0.017589","0.017617","0.021938","0.015835",
"400000.000000","0.058020","0.008909","0.020081","0.020076","0.020047","0.025075","0.018076",
"450000.000000","0.065810","0.010047","0.022563","0.022611","0.022490","0.028208","0.020349",
"500000.000000","0.073648","0.011224","0.025080","0.025128","0.025007","0.031345","0.022568",
"550000.000000","0.081376","0.012400","0.027617","0.027624","0.027513","0.034474","0.024866",
"600000.000000","0.089175","0.013595","0.030170","0.030133","0.029992","0.037623","0.027133",
"650000.000000","0.097064","0.014807","0.032711","0.032677","0.032527","0.040771","0.029401",
"700000.000000","0.105364","0.016010","0.035224","0.035226","0.035046","0.043917","0.031680",
"750000.000000","0.113433","0.017227","0.037750","0.037772","0.037536","0.047062","0.033919",
"800000.000000","0.121720","0.018471","0.040335","0.040344","0.040090","0.050226","0.036182",
"850000.000000","0.129972","0.019710","0.042881","0.042878","0.042645","0.053377","0.038497",
"900000.000000","0.138300","0.020951","0.045443","0.045462","0.045148","0.056526","0.040779",
"950000.000000","0.146688","0.022230","0.047984","0.048058","0.047723","0.059672","0.043106",
"1000000.000000","0.155199","0.023514","0.050579","0.050658","0.050297","0.062807","0.045393",
"1050000.000000","0.163902","0.024817","0.053149","0.053264","0.052905","0.065939","0.047699",
"1100000.000000","0.172526","0.026111","0.055747","0.055892","0.055473","0.069087","0.050161",
"1150000.000000","0.181296","0.027420","0.058382","0.058534","0.058047","0.072239","0.052484",
"1200000.000000","0.190175","0.028754","0.061026","0.061155","0.060656","0.075377","0.054841",
"1250000.000000","0.199149","0.030103","0.063663","0.063789","0.063243","0.078538","0.057187",
"1300000.000000","0.208250","0.031478","0.066334","0.066399","0.065857","0.081708","0.059551",
"1350000.000000","0.217608","0.032875","0.068949","0.069042","0.068456","0.084857","0.061934",
"1400000.000000","0.226908","0.034276","0.071658","0.071723","0.071078","0.088042","0.064304",
"1450000.000000","0.236260","0.035715","0.074364","0.074407","0.073740","0.091229","0.066662",
"1500000.000000","0.245712","0.037158","0.077029","0.077074","0.076393","0.094430","0.069087",
"1550000.000000","0.255275","0.038615","0.079764","0.079762","0.079025","0.097635","0.071448",
"1600000.000000","0.264914","0.040181","0.082469","0.082496","0.081718","0.100837","0.073882",
"1650000.000000","0.274655","0.041711","0.085200","0.085240","0.084437","0.104034","0.076245",
"1700000.000000","0.284424","0.043252","0.087968","0.088016","0.087149","0.107246","0.078645",
"1750000.000000","0.294373","0.044792","0.090755","0.090756","0.089838","0.110453","0.081080",
"1800000.000000","0.304414","0.046374","0.093523","0.093547","0.092576","0.113665","0.083528",
"1850000.000000","0.314563","0.047943","0.096335","0.096336","0.095312","0.116899","0.086019",
"1900000.000000","0.324763","0.049576","0.099136","0.099138","0.098051","0.120124","0.088517",
"1950000.000000","0.335236","0.051218","0.101975","0.101948","0.100815","0.123352","0.091050",
"2000000.000000","0.345865","0.052851","0.104810","0.104799","0.103587","0.126590","0.093535",
"2050000.000000","0.356370","0.054549","0.107688","0.107767","0.106364","0.129830","0.096027",
"2100000.000000","0.366958","0.056240","0.110581","0.110620","0.109168","0.133065","0.098532",
"2150000.000000","0.377712","0.058001","0.113468","0.113498","0.112002","0.136306","0.101027",
"2200000.000000","0.388530","0.059750","0.116388","0.116439","0.114848","0.139560","0.103566",
"2250000.000000","0.399439","0.061565","0.119368","0.119380","0.117695","0.142805","0.106139",
"2300000.000000","0.410597","0.063370","0.122429","0.122322","0.120557","0.146080","0.108678",
"2350000.000000","0.421729","0.065208","0.125369","0.125287","0.123432","0.149335","0.111224",
"2400000.000000","0.432951","0.067093","0.128357","0.128270","0.126325","0.152606","0.113795",
"2450000.000000","0.444230","0.069000","0.131381","0.131285","0.129249","0.155877","0.116408",
"2500000.000000","0.455641","0.070944","0.134399","0.134303","0.132176","0.159141","0.119033",
"2550000.000000","0.467183","0.072915","0.137435","0.137337","0.135122","0.162432","0.121673",
"2600000.000000","0.478831","0.074904","0.140500","0.140403","0.138081","0.165712","0.124330",
"2650000.000000","0.490541","0.076945","0.143564","0.143494","0.141068","0.168973","0.126973",
"2700000.000000","0.502354","0.079009","0.146658","0.146595","0.144049","0.172244","0.129664",
"2750000.000000","0.514328","0.081117","0.149791","0.149721","0.147065","0.175519","0.132367",
"2800000.000000","0.526324","0.083250","0.152939","0.152860","0.150093","0.178796","0.135065",
"2850000.000000","0.538466","0.085403","0.156105","0.156226","0.153142","0.182081","0.137785",
"2900000.000000","0.550686","0.087608","0.159286","0.159412","0.156281","0.185382","0.140531",
"2950000.000000","0.563003","0.089887","0.162470","0.162624","0.159449","0.188701","0.143298",
"3000000.000000","0.575462","0.092184","0.165693","0.165848","0.162538","0.192030","0.146049",
"3050000.000000","0.587971","0.094502","0.168927","0.169088","0.165642","0.195364","0.148825",
"3100000.000000","0.600620","0.096824","0.172183","0.172372","0.168763","0.198687","0.151645",
"3150000.000000","0.613369","0.099202","0.175723","0.175663","0.171903","0.202025","0.154452",
"3200000.000000","0.626241","0.101607","0.179034","0.178954","0.175092","0.205357","0.157275",
"3250000.000000","0.639113","0.104077","0.182351","0.182291","0.178276","0.208712","0.160126",
"3300000.000000","0.652334","0.106611","0.185688","0.185643","0.181487","0.212167","0.163004",
"3350000.000000","0.665504","0.109151","0.189051","0.189042","0.184696","0.215526","0.165887",
"3400000.000000","0.678733","0.111806","0.192434","0.192452","0.187934","0.218897","0.168794",
"3450000.000000","0.692085","0.114473","0.195864","0.196086","0.191187","0.222281","0.171716",
"3500000.000000","0.705501","0.117159","0.199304","0.199552","0.194484","0.225664","0.174678",
"3550000.000000","0.719110","0.119836","0.202756","0.203033","0.197770","0.229062","0.177637",
"3600000.000000","0.732725","0.122580","0.206253","0.206526","0.201058","0.232451","0.180628",
"3650000.000000","0.746486","0.125376","0.209776","0.210063","0.204378","0.235829","0.183622",
"3700000.000000","0.760304","0.128237","0.213314","0.213622","0.207705","0.239228","0.186664",
"3750000.000000","0.774189","0.131133","0.216882","0.217185","0.211050","0.242636","0.189726",
