"[count]","uHashT [sec]","cHashT [sec]","iHashT_u8h [sec]","iHashT_u8 [sec]","iHashT_u16 [sec]","dHashT [sec]","fHashT [sec]",
"3550000.000000","0.718175","0.119532","0.202263","0.203163","0.197472","0.229384","0.177506",
"3600000.000000","0.731858","0.122245","0.205750","0.206673","0.200800","0.232776","0.180499",
"3650000.000000","0.745623","0.125027","0.209257","0.210188","0.204143","0.236181","0.183506",
"3700000.000000","0.759536","0.127898","0.212800","0.213754","0.207511","0.239600","0.186543",
"3750000.000000","0.773440","0.130891","0.216376","0.217348","0.210888","0.243020","0.189605",
"3800000.000000","0.787478","0.133851","0.219954","0.221099","0.214292","0.246448","0.192701",
"3850000.000000","0.801812","0.136849","0.223560","0.224704","0.217717","0.249863","0.195805",
"3900000.000000","0.816130","0.139931","0.227218","0.228369","0.221135","0.253290","0.198932",
"3950000.000000","0.830500","0.143028","0.230886","0.232063","0.224604","0.256729","0.202070",
"4000000.000000","0.844926","0.146207","0.234574","0.235782","0.228084","0.260167","0.205260",
"4050000.000000","0.859504","0.149464","0.238324","0.239647","0.231710","0.263612","0.208477",
"4100000.000000","0.874301","0.152677","0.242108","0.243466","0.235377","0.267080","0.211850",
"4150000.000000","0.889033","0.155966","0.245914","0.247250","0.238955","0.270554","0.215327",
"4200000.000000","0.903939","0.159409","0.430147","0.251101","0.242559","0.274031","0.396805",
"4250000.000000","0.918947","0.162829","0.433295","0.254972","0.246185","0.277506","0.399625",
"4300000.000000","0.933997","0.166326","0.436271","0.258877","0.249873","0.281021","0.402217",
"4350000.000000","0.949146","0.169790","0.439288","0.262834","0.253604","0.284516","0.404814",
"4400000.000000","0.964393","0.173337","0.442251","0.266815","0.257363","0.288025","0.407441",
"4450000.000000","0.979823","0.176913","0.445237","0.270846","0.261176","0.291524","0.410050",
"4500000.000000","0.995324","0.180643","0.448258","0.274906","0.264999","0.295054","0.412658",
"4550000.000000","1.011246","0.184364","0.451296","0.279000","0.268851","0.298572","0.415276",
"4600000.000000","1.026904","0.188140","0.454307","0.283133","0.272765","0.302106","0.417946",
"4650000.000000","1.042860","0.191953","0.457358","0.287319","0.276698","0.305664","0.420569",
"4700000.000000","1.058762","0.195860","0.460406","0.291506","0.280800","0.309219","0.423220",
"4750000.000000","1.074802","0.199768","0.463482","0.295798","0.284799","0.312787","0.425873",
"4800000.000000","1.090903","0.203753","0.466566","0.300242","0.288881","0.316365","0.428542",
"4850000.000000","1.107107","0.207825","0.469661","0.304581","0.293022","0.319951","0.431206",
"4900000.000000","1.123399","0.211985","0.472790","0.309001","0.297186","0.323550","0.433880",
"4950000.000000","1.139712","0.216205","0.476017","0.313475","0.301415","0.327152","0.436550",
"5000000.000000","1.156235","0.220421","0.479137","0.318073","0.305710","0.330748","0.439252",
