"[count]","uHashT [%]","cHashT [%]","iHashT_u8h [%]","iHashT_u8 [%]","iHashT_u16 [%]","dHashT [%]","fHashT [%]",
"4.000000","0.500000","0.666667","0.513514","1.000000","1.000000","0.500000","0.500000",
"10.000000","0.800000","0.666667","0.512821","1.000000","1.000000","0.500000","0.500000",
"22.000000","0.909091","0.666667","0.511628","1.000000","1.000000","0.500000","0.500000",
"46.000000","0.956522","0.727273","0.509804","1.000000","1.000000","0.500000","0.500000",
"96.000000","0.978723","0.727273","0.514706","1.000000","1.000000","0.500000","0.500000",
"198.000000","0.989691","0.711111","0.509804","1.000000","1.000000","0.500000","0.500000",
"408.000000","0.994975","0.711111","0.505882","0.988235","1.000000","0.500000","0.500000",
"822.000000","0.997555","0.746356","0.501639","0.940984","1.000000","0.500000","0.500000",
"1740.000000","0.998785","0.736691","0.500870","0.918261","1.000000","0.500000","0.500000",
"3738.000000","0.999426","0.738284","0.500448","0.869955","1.000000","0.500000","0.500000",
"7516.000000","0.999733","0.731690","0.500455","0.842896","0.999545","0.500000","0.500000",
"15172.000000","0.999867","0.731298","0.500230","0.835632","0.998161","0.500000","0.500000",
"30726.000000","0.999934","0.733853","0.500118","0.856263","0.997987","0.500000","0.500000",
"62232.000000","0.999967","0.730418","0.500060","0.851845","0.999279","0.500000","0.500000",
"126270.000000","0.999984","0.729556","0.500030","0.854218","0.999849","0.500000","0.500000",
"256278.000000","0.999992","0.730385","0.500015","0.826053","0.997006","0.500000","0.500000",
"520240.000000","0.999996","0.731102","0.500008","0.801593","0.995492","0.500000","0.500000",
"1056322.000000","0.999998","0.731172","0.500004","0.819995","0.996037","0.500000","0.500000",
"2144976.000000","0.999999","0.730887","0.500002","0.831754","0.991745","0.500000","0.500000",
"4355706.000000","1.000000","0.731283","0.500001","0.807751","0.991199","0.500000","0.500000",
"8844858.000000","1.000000","0.731069","0.500000","0.813225","0.991017","0.500000","0.500000",
"17961078.000000","1.000000","0.731030","0.500000","0.799196","0.987393","0.500000","0.500000",
"36473442.000000","1.000000","0.731038","0.500000","0.789058","0.986880","0.500000","0.500000",
"74066548.000000","1.000000","0.731032","0.500000","0.754439","0.989962","0.500000","0.500000",
"150406842.000000","1.000000","0.731051","0.500000","0.760197","0.987065","0.000000","0.500000",
"305431228.000000","1.000000","0.731065","0.500000","0.747926","0.987411","0.000000","0.500000",
"0.000000","0.000000","0.731089","0.500000","0.723918","0.985500","0.000000","0.500000",
"0.000000","0.000000","0.000000","0.500000","0.730738",
