"[count]","uHashT [%]","cHashT [%]","iHashT_u8h [%]","iHashT_u8 [%]","iHashT_u16 [%]","dHashT [%]","fHashT [%]",
"4.000000","0.500000","1.000000","0.513514","1.000000","1.000000","0.500000","0.500000",
"10.000000","0.800000","1.000000","0.512821","1.000000","1.000000","0.500000","0.500000",
"22.000000","0.909091","0.800000","0.511628","1.000000","1.000000","0.500000","0.500000",
"46.000000","0.956522","0.761905","0.509804","1.000000","1.000000","0.500000","0.500000",
"96.000000","0.978723","0.711111","0.514706","1.000000","1.000000","0.500000","0.500000",
"198.000000","0.989691","0.673684","0.509804","1.000000","0.990196","0.500000","0.500000",
"408.000000","0.994975","0.719101","0.505882","0.994118","0.988235","0.500000","0.500000",
"822.000000","0.997555","0.711111","0.501639","0.954098","0.993443","0.500000","0.500000",
"1740.000000","0.998785","0.737752","0.500870","0.885217","0.979130","0.500000","0.500000",
"3738.000000","0.999426","0.731951","0.500448","0.904933","0.999103","0.500000","0.500000",
"7516.000000","0.999733","0.738817","0.500455","0.849271","0.995902","0.500000","0.500000",
"15172.000000","0.999867","0.730125","0.500230","0.888736","0.999540","0.500000","0.500000",
"30726.000000","0.999934","0.732540","0.500118","0.885153","0.999763","0.500000","0.500000",
"62232.000000","0.999967","0.731919","0.500060","0.898425","0.999639","0.500000","0.500000",
"126270.000000","0.999984","0.730011","0.500030","0.837472","0.997426","0.500000","0.500000",
"256278.000000","0.999992","0.730874","0.500015","0.864599","0.999331","0.500000","0.500000",
"520240.000000","0.999996","0.730882","0.500008","0.796948","0.996018","0.500000","0.500000",
"1056322.000000","0.999998","0.731533","0.500004","0.839557","0.992572","0.500000","0.500000",
"2144976.000000","0.999999","0.731367","0.500002","0.812686","0.994473","0.500000","0.500000",
"4355706.000000","1.000000","0.731398","0.500001","0.794813","0.991185","0.500000","0.500000",
"8844858.000000","1.000000","0.731206","0.500000","0.802947","0.991505","0.500000","0.500000",
"17961078.000000","1.000000","0.731166","0.500000","0.780333","0.990327","0.500000","0.500000",
"36473442.000000","1.000000","0.731095","0.500000","0.781464","0.990249","0.500000","0.500000",
"74066548.000000","1.000000","0.731039","0.500000","0.774556","0.989438","0.500000","0.500000",
"150406842.000000","1.000000","0.731024","0.500000","0.751518","0.988610","0.000000","0.500000",
"305431228.000000","1.000000","0.731028","0.500000","0.744282","0.986678","0.000000","0.500000",
"0.000000","0.000000","0.731066","0.500000","0.744917","0.985826","0.000000","0.500000",
"0.000000","0.000000","0.000000","0.500000","0.721159",
