"[count]","fHashT",
"0.000000","0.000000",
"1000000.000000","6.001575",
"2000000.000000","6.001606",
"3000000.000000","6.001606",
"4000000.000000","6.001610",
"5000000.000000","6.001610",
"6000000.000000","6.001610",
"7000000.000000","6.001610",
"8000000.000000","6.001610",
"9000000.000000","6.001610",
"10000000.000000","6.001610",
"11000000.000000","6.001610",
"12000000.000000","6.001610",
"13000000.000000","6.001610",
"14000000.000000","6.001610",
"15000000.000000","6.001610",
"16000000.000000","6.001610",
"17000000.000000","6.001610",
"18000000.000000","6.001610",
"19000000.000000","6.001610",
"20000000.000000","6.001610",
"21000000.000000","6.001610",
"22000000.000000","6.001610",
"23000000.000000","6.001610",
"24000000.000000","6.001610",
"25000000.000000","6.001610",
"26000000.000000","6.001610",
"27000000.000000","6.001610",
"28000000.000000","6.001610",
"29000000.000000","6.001610",
"30000000.000000","6.001610",
"31000000.000000","6.001610",
"32000000.000000","6.001610",
"33000000.000000","6.001610",
"34000000.000000","6.001610",
"35000000.000000","6.001610",
"36000000.000000","6.001610",
"37000000.000000","6.001610",
"38000000.000000","6.001610",
"39000000.000000","6.001610",
"40000000.000000","6.001610",
"41000000.000000","6.001610",
"42000000.000000","6.001610",
"43000000.000000","6.001610",
"44000000.000000","6.001610",
"45000000.000000","6.001610",
"46000000.000000","6.001610",
"47000000.000000","6.001610",
"48000000.000000","6.001610",
"49000000.000000","6.001610",
"50000000.000000","6.001610",
"51000000.000000","6.001610",
"52000000.000000","6.001610",
"53000000.000000","6.001610",
"54000000.000000","6.001610",
"55000000.000000","6.001610",
"56000000.000000","6.001610",
"57000000.000000","6.001610",
"58000000.000000","6.001610",
"59000000.000000","6.001610",
"60000000.000000","6.001610",
"61000000.000000","6.001610",
"62000000.000000","6.001610",
"63000000.000000","6.001610",
"64000000.000000","6.001610",
"65000000.000000","6.001610",
"66000000.000000","6.001610",
"67000000.000000","6.001610",
"68000000.000000","6.001610",
"69000000.000000","6.001610",
"70000000.000000","6.001610",
