"[count]","uHashT [GB]","cHashT [GB]","iHashT_u8h [GB]","iHashT_u8 [GB]","iHashT_u16 [GB]","dHashT [GB]","fHashT [GB]",
"0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",
"100000.000000","0.005466","0.007755","0.000107","0.000126","0.000107","0.000000","0.000000",
"200000.000000","0.009354","0.015682","0.000107","0.000126","0.000107","0.000000","0.000000",
"300000.000000","0.015007","0.031307","0.000107","0.000126","0.000107","0.000000","0.000000",
"400000.000000","0.017406","0.031307","0.000107","0.000126","0.000107","0.000000","0.000000",
"500000.000000","0.020416","0.031307","0.000107","0.000126","0.000107","0.000000","0.000000",
"600000.000000","0.028927","0.062561","0.046852","0.000126","0.000107","0.000000","0.046879",
"700000.000000","0.030411","0.062561","0.046989","0.000126","0.000107","0.000000","0.046879",
"800000.000000","0.033352","0.062561","0.046989","0.000126","0.000107","0.000000","0.046879",
"900000.000000","0.036339","0.062561","0.046989","0.046940","0.000107","0.000000","0.046879",
"1000000.000000","0.039345","0.062561","0.046989","0.047009","0.000107","0.000000","0.046879",
"1100000.000000","0.057007","0.125065","0.140568","0.047009","0.046860","0.062504","0.140633",
"1200000.000000","0.053307","0.093811","0.093864","0.047009","0.046989","0.062504","0.093754",
"1300000.000000","0.056328","0.093811","0.093864","0.047009","0.046989","0.062504","0.093754",
"1400000.000000","0.059315","0.093811","0.093864","0.047009","0.046989","0.062504","0.093754",
"1500000.000000","0.062344","0.093811","0.093864","0.047009","0.046989","0.062504","0.093754",
"1600000.000000","0.065319","0.093811","0.093864","0.047009","0.046989","0.062504","0.093754",
"1700000.000000","0.068302","0.093811","0.093864","0.140594","0.046989","0.062504","0.093754",
"1800000.000000","0.071259","0.093811","0.093864","0.093884","0.046989","0.062504","0.093754",
"1900000.000000","0.074234","0.093811","0.093864","0.093884","0.046989","0.062504","0.093754",
"2000000.000000","0.077263","0.094315","0.093864","0.093884","0.046989","0.062504","0.093754",
"2100000.000000","0.080200","0.242031","0.281269","0.093884","0.140732","0.187450","0.281258",
"2200000.000000","0.114033","0.179527","0.187614","0.093884","0.093864","0.125004","0.187504",
"2300000.000000","0.102650","0.179527","0.187614","0.093884","0.093864","0.125004","0.187504",
"2400000.000000","0.105625","0.179527","0.187614","0.093884","0.093864","0.125004","0.187504",
"2500000.000000","0.108624","0.179527","0.187614","0.093884","0.093864","0.125004","0.187504",
"2600000.000000","0.111599","0.179527","0.187614","0.093884","0.093864","0.125004","0.187504",
"2700000.000000","0.114590","0.179527","0.187614","0.093884","0.093864","0.125004","0.187504",
"2800000.000000","0.117554","0.179527","0.187614","0.093884","0.093864","0.125004","0.187504",
"2900000.000000","0.120541","0.179527","0.187614","0.093884","0.093864","0.125004","0.187504",
"3000000.000000","0.123531","0.179527","0.187614","0.093884","0.093864","0.125004","0.187504",
"3100000.000000","0.126514","0.179527","0.187614","0.093884","0.093864","0.125004","0.187504",
"3200000.000000","0.129478","0.179527","0.187614","0.093884","0.093864","0.125004","0.187504",
"3300000.000000","0.132473","0.179527","0.187614","0.093884","0.093864","0.125004","0.187504",
"3400000.000000","0.135445","0.179527","0.187614","0.281158","0.093864","0.125004","0.187504",
"3500000.000000","0.138424","0.179527","0.187614","0.187634","0.093864","0.125004","0.187504",
"3600000.000000","0.141407","0.179527","0.187614","0.187634","0.093864","0.125004","0.187504",
"3700000.000000","0.144398","0.180595","0.187614","0.187634","0.093864","0.125004","0.187504",
"3800000.000000","0.147362","0.183243","0.187614","0.187634","0.093864","0.125004","0.187504",
"3900000.000000","0.150345","0.185932","0.187614","0.187634","0.093864","0.125004","0.187504",
"4000000.000000","0.153339","0.188644","0.187614","0.187634","0.093864","0.125004","0.187504",
"4100000.000000","0.156303","0.191422","0.187614","0.187634","0.093864","0.125004","0.187504",
"4200000.000000","0.159294","0.484058","0.562405","0.187634","0.281322","0.374828","0.562508",
"4300000.000000","0.162277","0.359058","0.375114","0.187634","0.187614","0.250004","0.375004",
"4400000.000000","0.229839","0.359058","0.375114","0.187634","0.187614","0.250004","0.375004",
"4500000.000000","0.201683","0.359058","0.375114","0.187634","0.187614","0.250004","0.375004",
"4600000.000000","0.204655","0.359058","0.375114","0.187634","0.187614","0.250004","0.375004",
"4700000.000000","0.207649","0.359058","0.375114","0.187634","0.187614","0.250004","0.375004",
"4800000.000000","0.210625","0.359058","0.375114","0.187634","0.187614","0.250004","0.375004",
"4900000.000000","0.213608","0.359058","0.375114","0.187634","0.187614","0.250004","0.375004",
"5000000.000000","0.216579","0.359058","0.375114","0.187634","0.187614","0.250004","0.375004",
"5100000.000000","0.219559","0.359058","0.375114","0.187634","0.187614","0.250004","0.375004",
"5200000.000000","0.222546","0.359058","0.375114","0.187634","0.187614","0.250004","0.375004",
"5300000.000000","0.225529","0.359058","0.375114","0.187634","0.187614","0.250004","0.375004",
"5400000.000000","0.228512","0.359058","0.375114","0.187634","0.187614","0.250004","0.375004",
"5500000.000000","0.231480","0.359058","0.375114","0.187634","0.187614","0.250004","0.375004",
"5600000.000000","0.234467","0.359058","0.375114","0.187634","0.187614","0.250004","0.375004",
"5700000.000000","0.237450","0.359058","0.375114","0.187634","0.187614","0.250004","0.375004",
"5800000.000000","0.240425","0.359058","0.375114","0.187634","0.187614","0.250004","0.375004",
"5900000.000000","0.243404","0.359058","0.375114","0.187634","0.187614","0.250004","0.375004",
"6000000.000000","0.246387","0.359058","0.375114","0.187634","0.187614","0.250004","0.375004",
"6100000.000000","0.249359","0.359058","0.375114","0.187634","0.187614","0.250004","0.375004",
"6200000.000000","0.252346","0.359058","0.375114","0.187634","0.187614","0.250004","0.375004",
"6300000.000000","0.255329","0.359058","0.375114","0.187634","0.187614","0.250004","0.375004",
"6400000.000000","0.258305","0.359058","0.375114","0.187634","0.187614","0.250004","0.375004",
"6500000.000000","0.261288","0.359058","0.375114","0.562481","0.187614","0.250004","0.375004",
"6600000.000000","0.264275","0.359058","0.375114","0.375134","0.187614","0.250004","0.375004",
"6700000.000000","0.267242","0.359058","0.375114","0.375134","0.187614","0.250004","0.375004",
"6800000.000000","0.270229","0.359058","0.375114","0.375134","0.187614","0.250004","0.375004",
"6900000.000000","0.273216","0.359058","0.375114","0.375134","0.187614","0.250004","0.375004",
"7000000.000000","0.276188","0.359058","0.375114","0.375134","0.187614","0.250004","0.375004",
"7100000.000000","0.279167","0.359058","0.375114","0.375134","0.187614","0.250004","0.375004",
"7200000.000000","0.282146","0.359058","0.375114","0.375134","0.187614","0.250004","0.375004",
"7300000.000000","0.285130","0.359058","0.375114","0.375134","0.187614","0.250004","0.375004",
"7400000.000000","0.288109","0.361107","0.375114","0.375134","0.187614","0.250004","0.375004",
"7500000.000000","0.291084","0.363735","0.375114","0.375134","0.187614","0.250004","0.375004",
"7600000.000000","0.294075","0.366386","0.375114","0.375134","0.187614","0.250004","0.375004",
"7700000.000000","0.297050","0.369064","0.375114","0.375134","0.187614","0.250004","0.375004",
"7800000.000000","0.300037","0.371769","0.375114","0.375134","0.187614","0.250004","0.375004",
"7900000.000000","0.303009","0.374485","0.375114","0.375134","0.187614","0.250004","0.375004",
"8000000.000000","0.305992","0.377220","0.375114","0.375134","0.187614","0.250004","0.375004",
"8100000.000000","0.308968","0.379978","0.375114","0.375134","0.187614","0.250004","0.375004",
"8200000.000000","0.311951","0.382771","0.375114","0.375134","0.187614","0.250004","0.375004",
"8300000.000000","0.314930","0.385574","0.375114","0.375134","0.562546","0.250004","0.375004",
