"[count]","uHashT [sec]","cHashT [sec]","iHashT_u8h [sec]","iHashT_u8 [sec]","iHashT_u16 [sec]","dHashT [sec]","fHashT [sec]",
"0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",
"50000.000000","0.004410","0.003037","0.002461","0.002366","0.007160","0.002146","0.002047",
"100000.000000","0.009250","0.006721","0.005507","0.004812","0.014692","0.004624","0.004826",
"150000.000000","0.016063","0.014260","0.010928","0.008455","0.026068","0.008651","0.009818",
"200000.000000","0.021105","0.016967","0.013236","0.010352","0.027956","0.010608","0.011888",
"250000.000000","0.028095","0.020299","0.015751","0.016749","0.031382","0.012631","0.013994",
"300000.000000","0.046036","0.036320","0.025590","0.019582","0.055365","0.020482","0.022985",
"350000.000000","0.055162","0.039585","0.028342","0.022776","0.058339","0.023177","0.025264",
"400000.000000","0.065439","0.043518","0.031196","0.026500","0.061912","0.025942","0.027623",
"450000.000000","0.076914","0.048084","0.034213","0.038082","0.066303","0.028827","0.030117",
"500000.000000","0.089480","0.053259","0.037421","0.041292","0.073504","0.031817","0.032782",
"550000.000000","0.134183","0.091162","0.054938","0.044677","0.111095","0.045445","0.048820",
"600000.000000","0.145545","0.094540","0.057771","0.048263","0.114467","0.048543","0.051253",
"650000.000000","0.157538","0.098235","0.060636","0.052106","0.118067","0.051663","0.053706",
"700000.000000","0.170723","0.102330","0.063612","0.056294","0.122031","0.054844","0.056207",
"750000.000000","0.184553","0.106779","0.066661","0.060924","0.126454","0.058107","0.058762",
"800000.000000","0.198874","0.111588","0.069758","0.066066","0.131393","0.061449","0.061386",
"850000.000000","0.213642","0.116818","0.072942","0.085265","0.136999","0.064859","0.064080",
"900000.000000","0.228954","0.122420","0.076247","0.088551","0.143410","0.068352","0.066859",
"950000.000000","0.244810","0.128395","0.079627","0.091949","0.151210","0.071890","0.069713",
"1000000.000000","0.261176","0.134773","0.083105","0.095420","0.162825","0.075498","0.072674",
"1050000.000000","0.278000","0.238665","0.129374","0.098989","0.257453","0.107687","0.116144",
"1100000.000000","0.368842","0.241964","0.132305","0.102686","0.260963","0.111035","0.118762",
"1150000.000000","0.382030","0.245369","0.135211","0.106481","0.264543","0.114362","0.121272",
"1200000.000000","0.395360","0.248992","0.138151","0.110420","0.268254","0.117709","0.123796",
"1250000.000000","0.409134","0.252811","0.141117","0.114512","0.272096","0.121094","0.126350",
"1300000.000000","0.422910","0.256895","0.144147","0.118783","0.276124","0.124506","0.128929",
"1350000.000000","0.437311","0.261145","0.147191","0.123258","0.280365","0.127953","0.131537",
"1400000.000000","0.452110","0.265633","0.150277","0.127959","0.284833","0.131417","0.134296",
