"[count]","uHashT [sec]","cHashT [sec]","iHashT_u8h [sec]","iHashT_u8 [sec]","iHashT_u16 [sec]","dHashT [sec]","fHashT [sec]",
"0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",
"50000.000000","0.004451","0.003023","0.002464","0.002614","0.007045","0.002115","0.002210",
"100000.000000","0.009447","0.006646","0.005792","0.005065","0.014373","0.004398","0.004920",
"150000.000000","0.015956","0.014566","0.011321","0.009016","0.024972","0.008434","0.010065",
"200000.000000","0.020945","0.017256","0.013660","0.010977","0.026881","0.010498","0.011964",
"250000.000000","0.027829","0.020568","0.016178","0.017354","0.030428","0.012343","0.014027",
"300000.000000","0.045701","0.036632","0.026057","0.020195","0.045889","0.020190","0.022980",
"350000.000000","0.054790","0.039849","0.028738","0.023377","0.048916","0.022887","0.025232",
"400000.000000","0.065132","0.043742","0.031834","0.027101","0.052458","0.025652","0.027593",
"450000.000000","0.076722","0.048306","0.034964","0.038059","0.056887","0.028536","0.030082",
"500000.000000","0.089218","0.053480","0.038311","0.041219","0.063941","0.031516","0.032722",
"550000.000000","0.130371","0.090860","0.056002","0.044606","0.094920","0.045144","0.048331",
"600000.000000","0.141725","0.094149","0.058796","0.048170","0.098262","0.048235","0.050755",
"650000.000000","0.153654","0.097812","0.061669","0.051951","0.101827","0.051367","0.053200",
"700000.000000","0.166779","0.101815","0.064630","0.056098","0.105772","0.054565","0.055695",
"750000.000000","0.180400","0.106246","0.067632","0.060647","0.110139","0.057815","0.058252",
"800000.000000","0.194578","0.111076","0.070720","0.065760","0.115006","0.061154","0.060841",
"850000.000000","0.209338","0.116251","0.073900","0.086957","0.120496","0.064551","0.063521",
"900000.000000","0.224581","0.121866","0.077179","0.090248","0.126802","0.068011","0.066273",
"950000.000000","0.240449","0.127719","0.080557","0.093592","0.134383","0.071560","0.069090",
"1000000.000000","0.256909","0.134018","0.084032","0.097068","0.145759","0.075153","0.072162",
"1050000.000000","0.273686","0.237266","0.130533","0.100638","0.203282","0.107422","0.115768",
"1100000.000000","0.363764","0.240541","0.133430","0.104330","0.206731","0.110744","0.118339",
"1150000.000000","0.376718","0.243914","0.136330","0.108130","0.210268","0.114046","0.120837",
"1200000.000000","0.389868","0.247527","0.139270","0.112064","0.213968","0.117386","0.123345",
"1250000.000000","0.403232","0.251359","0.142252","0.116142","0.217797","0.120757","0.125884",
"1300000.000000","0.417021","0.255392","0.145244","0.120378","0.221820","0.124173","0.128446",
"1350000.000000","0.431376","0.259613","0.148291","0.124830","0.225998","0.127605","0.131043",
"1400000.000000","0.446193","0.264048","0.151530","0.129512","0.230644","0.131060","0.133692",
"1450000.000000","0.461434","0.268692","0.154665","0.134499","0.235494","0.134563","0.136358",
"1500000.000000","0.476782","0.273553","0.157832","0.139763","0.240516","0.138099","0.139062",
"1550000.000000","0.492443","0.278621","0.161043","0.145403","0.245857","0.141685","0.141765",
"1600000.000000","0.508206","0.283932","0.164280","0.151618","0.251634","0.145319","0.144534",
"1650000.000000","0.524242","0.289465","0.167566","0.157949","0.257698","0.148974","0.147332",
"1700000.000000","0.540642","0.295204","0.170903","0.207483","0.264167","0.152666","0.150149",
"1750000.000000","0.557327","0.301122","0.174283","0.210873","0.271045","0.156388","0.152980",
"1800000.000000","0.574214","0.307226","0.177845","0.214280","0.278507","0.160151","0.155899",
"1850000.000000","0.591353","0.313676","0.181329","0.217762","0.286643","0.163920","0.158849",
"1900000.000000","0.608726","0.320202","0.184838","0.221290","0.295886","0.167736","0.161833",
"1950000.000000","0.626406","0.326930","0.188401","0.224860","0.307167","0.171588","0.164864",
"2000000.000000","0.644246","0.333948","0.192029","0.228486","0.323423","0.175454","0.167978",
"2050000.000000","0.662342","0.341006","0.195699","0.232158","0.357197","0.179485","0.171147",
"2100000.000000","0.680679","0.527163","0.288677","0.235883","0.483186","0.244673","0.259337",
"2150000.000000","0.868784","0.530606","0.291668","0.239695","0.486745","0.248148","0.261977",
"2200000.000000","0.882403","0.533986","0.294563","0.243566","0.490359","0.251574","0.264518",
