"[count]","uHashT [sec]","cHashT [sec]","iHashT_u8h [sec]","iHashT_u8 [sec]","iHashT_u16 [sec]","dHashT [sec]","fHashT [sec]",
"0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",
"50000.000000","0.005057","0.003034","0.002464","0.002373","0.007198","0.002059","0.002341",
"100000.000000","0.010654","0.006685","0.005471","0.004827","0.013593","0.004345","0.005023",
"150000.000000","0.017840","0.014219","0.010894","0.008678","0.025062","0.008509","0.010161",
"200000.000000","0.023457","0.016893","0.013219","0.010582","0.026924","0.010548","0.012060",
"250000.000000","0.031072","0.020174","0.015734","0.016862","0.030097","0.012401","0.014099",
"300000.000000","0.050268","0.036170","0.025548","0.019695","0.050295","0.019590","0.023028",
"350000.000000","0.059736","0.039447","0.028257","0.022851","0.053264","0.022302","0.025288",
"400000.000000","0.070720","0.043369","0.031110","0.026583","0.056788","0.025057","0.027651",
"450000.000000","0.082899","0.047916","0.034103","0.037841","0.061208","0.027936","0.030115",
"500000.000000","0.096079","0.053134","0.037247","0.041033","0.068459","0.030933","0.032764",
"550000.000000","0.138646","0.090498","0.054342","0.044373","0.114505","0.044606","0.048422",
"600000.000000","0.150020","0.093823","0.057157","0.047954","0.117842","0.047687","0.050790",
"650000.000000","0.162000","0.097474","0.060029","0.051752","0.121399","0.050801","0.053233",
"700000.000000","0.175260","0.101478","0.062971","0.055916","0.125269","0.053976","0.055730",
"750000.000000","0.188924","0.105867","0.065995","0.060434","0.129646","0.057438","0.058277",
"800000.000000","0.203146","0.110707","0.069100","0.065543","0.134518","0.060748","0.060863",
"850000.000000","0.217908","0.115896","0.072306","0.085038","0.140066","0.064156","0.063530",
"900000.000000","0.233209","0.121544","0.075557","0.088341","0.146296","0.067653","0.066302",
"950000.000000","0.249362","0.127512","0.078917","0.091728","0.153828","0.071175","0.069144",
"1000000.000000","0.265804","0.133797","0.082380","0.095207","0.164935","0.074752","0.072062",
"1050000.000000","0.282544","0.239507","0.128561","0.098794","0.235580","0.107374","0.115625",
"1100000.000000","0.373148","0.242768","0.131484","0.102448","0.239025","0.110701","0.118186",
"1150000.000000","0.386179","0.246146","0.134355","0.106251","0.242535","0.114000","0.120656",
"1200000.000000","0.399328","0.249726","0.137304","0.110175","0.246175","0.117324","0.123161",
"1250000.000000","0.412762","0.253466","0.140275","0.114250","0.249973","0.120687","0.125693",
"1300000.000000","0.426528","0.257453","0.143286","0.118476","0.253951","0.124074","0.128255",
"1350000.000000","0.440949","0.261642","0.146324","0.122919","0.258136","0.127512","0.130839",
"1400000.000000","0.455811","0.266066","0.149394","0.127788","0.262546","0.130971","0.133445",
"1450000.000000","0.470914","0.270722","0.152511","0.132734","0.267247","0.134481","0.136096",
"1500000.000000","0.486400","0.275566","0.155684","0.138004","0.272277","0.138026","0.138764",
"1550000.000000","0.502015","0.280605","0.158885","0.143628","0.277690","0.141613","0.141459",
"1600000.000000","0.517858","0.285892","0.162134","0.149585","0.283391","0.145222","0.144203",
"1650000.000000","0.533971","0.291435","0.165432","0.199395","0.289481","0.148893","0.146958",
"1700000.000000","0.550313","0.297128","0.168763","0.202747","0.295990","0.152626","0.149749",
"1750000.000000","0.566922","0.302980","0.172116","0.206141","0.302938","0.156437","0.152573",
