"[count]","uHashT [%]","cHashT [%]","iHashT_u8h [%]","iHashT_u8 [%]","iHashT_u16 [%]","dHashT [%]","fHashT [%]",
"4.000000","0.500000","0.666667","0.513514","1.000000","1.000000","0.500000","0.500000",
"10.000000","0.800000","0.800000","0.512821","1.000000","1.000000","0.500000","0.500000",
"22.000000","0.909091","0.888889","0.511628","1.000000","1.000000","0.500000","0.500000",
"46.000000","0.956522","0.761905","0.509804","1.000000","1.000000","0.500000","0.500000",
"96.000000","0.978723","0.744186","0.514706","1.000000","1.000000","0.500000","0.500000",
"198.000000","0.989691","0.719101","0.509804","0.990196","1.000000","0.500000","0.500000",
"408.000000","0.994975","0.757396","0.505882","0.994118","1.000000","0.500000","0.500000",
"822.000000","0.997555","0.744186","0.501639","0.944262","0.983607","0.500000","0.500000",
"1740.000000","0.998785","0.724187","0.500870","0.920000","0.993043","0.500000","0.500000",
"3738.000000","0.999426","0.724187","0.500448","0.868161","0.999103","0.500000","0.500000",
"7516.000000","0.999733","0.727790","0.500455","0.857468","0.999545","0.500000","0.500000",
"15172.000000","0.999867","0.732606","0.500230","0.816322","0.999080","0.500000","0.500000",
"30726.000000","0.999934","0.732737","0.500118","0.851883","0.999645","0.500000","0.500000",
"62232.000000","0.999967","0.732671","0.500060","0.850944","0.998257","0.500000","0.500000",
"126270.000000","0.999984","0.730434","0.500030","0.883896","0.999849","0.500000","0.500000",
"256278.000000","0.999992","0.731061","0.500015","0.855586","0.999225","0.500000","0.500000",
"520240.000000","0.999996","0.731596","0.500008","0.833285","0.992302","0.500000","0.500000",
"1056322.000000","0.999998","0.731012","0.500004","0.832518","0.993357","0.500000","0.500000",
"2144976.000000","0.999999","0.731134","0.500002","0.826858","0.993247","0.500000","0.500000",
"4355706.000000","1.000000","0.731292","0.500001","0.791505","0.990589","0.500000","0.500000",
"8844858.000000","1.000000","0.731143","0.500000","0.793977","0.990884","0.500000","0.500000",
"17961078.000000","1.000000","0.731023","0.500000","0.766827","0.991114","0.500000","0.500000",
"36473442.000000","1.000000","0.730974","0.500000","0.766785","0.990400","0.500000","0.500000",
"74066548.000000","1.000000","0.731065","0.500000","0.774282","0.986681","0.500000","0.500000",
"150406842.000000","1.000000","0.731035","0.500000","0.749460","0.987613","0.000000","0.500000",
"305431228.000000","1.000000","0.731074","0.500000","0.734187","0.988007","0.000000","0.500000",
"0.000000","0.000000","0.731043","0.500000","0.747171","0.984610","0.000000","0.500000",
"0.000000","0.000000","0.000000","0.500000",
