"[count]","uHashT [%]","cHashT [%]","iHashT_u8h [%]","iHashT_u8 [%]","iHashT_u16 [%]","dHashT [%]","fHashT [%]",
"4.000000","0.500000","1.000000","0.513514","1.000000","1.000000","0.500000","0.500000",
"10.000000","0.800000","0.800000","0.512821","1.000000","1.000000","0.500000","0.500000",
"22.000000","0.909091","0.727273","0.511628","1.000000","1.000000","0.500000","0.500000",
"46.000000","0.956522","0.666667","0.509804","1.000000","1.000000","0.500000","0.500000",
"96.000000","0.978723","0.727273","0.514706","1.000000","1.000000","0.500000","0.500000",
"198.000000","0.989691","0.735632","0.509804","1.000000","1.000000","0.500000","0.500000",
"408.000000","0.994975","0.731429","0.505882","1.000000","0.994118","0.500000","0.500000",
"822.000000","0.997555","0.742029","0.501639","0.934426","0.993443","0.500000","0.500000",
"1740.000000","0.998785","0.748538","0.500870","0.880000","0.994783","0.500000","0.500000",
"3738.000000","0.999426","0.730385","0.500448","0.860987","0.981166","0.500000","0.500000",
"7516.000000","0.999733","0.730385","0.500455","0.865665","0.983607","0.500000","0.500000",
"15172.000000","0.999867","0.734050","0.500230","0.849655","0.994943","0.500000","0.500000",
"30726.000000","0.999934","0.731233","0.500118","0.867156","0.996685","0.500000","0.500000",
"62232.000000","0.999967","0.731200","0.500060","0.802921","0.995312","0.500000","0.500000",
"126270.000000","0.999984","0.731755","0.500030","0.855490","0.999455","0.500000","0.500000",
"256278.000000","0.999992","0.730507","0.500015","0.757425","0.999362","0.500000","0.500000",
"520240.000000","0.999996","0.731555","0.500008","0.802895","0.996520","0.500000","0.500000",
"1056322.000000","0.999998","0.731525","0.500004","0.786812","0.992668","0.500000","0.500000",
"2144976.000000","0.999999","0.731440","0.500002","0.814175","0.994675","0.500000","0.500000",
"4355706.000000","1.000000","0.731168","0.500001","0.804395","0.994061","0.500000","0.500000",
"8844858.000000","1.000000","0.731075","0.500000","0.815669","0.991938","0.500000","0.500000",
"17961078.000000","1.000000","0.731057","0.500000","0.776182","0.991651","0.500000","0.500000",
"36473442.000000","1.000000","0.731084","0.500000","0.769694","0.989556","0.500000","0.500000",
"74066548.000000","1.000000","0.730972","0.500000","0.764075","0.988585","0.500000","0.500000",
"150406842.000000","1.000000","0.731023","0.500000","0.761141","0.988153","0.000000","0.500000",
"305431228.000000","1.000000","0.731016","0.500000","0.758543","0.986636","0.000000","0.500000",
"0.000000","0.000000","0.731041","0.500000","0.756249","0.988304","0.000000","0.500000",
"0.000000","0.000000","0.000000","0.500000",
