"[count]","uHashT [sec]","cHashT [sec]","iHashT_u8h [sec]","iHashT_u8 [sec]","iHashT_u16 [sec]","dHashT [sec]","fHashT [sec]",
"0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",
"2000000.000000","0.353510","0.108018","0.156277","0.162027","0.155994","0.208982","0.148026",
"4000000.000000","0.712033","0.216305","0.313606","0.324494","0.312905","0.418076","0.295933",
"6000000.000000","1.075015","0.327337","0.470929","0.487173","0.469780","0.626655","0.444541",
"8000000.000000","1.443032","0.439396","0.628218","0.650080","0.627199","0.835231","0.593856",
"10000000.000000","1.816226","0.554337","0.786886","0.813270","0.785044","1.044173","0.743090",
"12000000.000000","2.194711","0.671132","0.945327","0.976696","0.943472","1.252975","0.891353",
"14000000.000000","2.578621","0.789130","1.104001","1.140447","1.102298","1.462639","1.041075",
"16000000.000000","2.967206","0.907662","1.263652","1.304708","1.261772","1.672221","1.191043",
"18000000.000000","3.361246","1.028060","1.423016","1.469013","1.420610","1.881832","1.341414",
"20000000.000000","3.760676","1.148888","1.582460","1.633768","1.580436","2.091660","1.491877",
"22000000.000000","4.166305","1.270426","1.741979","1.798690","1.740092","2.301103","1.642796",
"24000000.000000","4.576501","1.392843","1.901697","1.964725","1.899378","2.510713","1.794022",
"26000000.000000","4.992955","1.515740","2.061212","2.130062","2.058708","2.720804","1.945549",
"28000000.000000","5.414821","1.639378","2.221829","2.295987","2.218803","2.930716","2.098328",
"30000000.000000","5.842711","1.763454","2.382695","2.462517","2.380128","3.140873","2.250306",
"32000000.000000","6.276405","1.888295","2.543887","2.629252","2.542639","3.351543","2.403217",
"34000000.000000","6.716024","2.014368","2.705695","2.796214","2.704034","3.562261","2.555945",
"36000000.000000","7.159541","2.141017","2.868453","2.963592","2.865696","3.772702","2.708562",
"38000000.000000","7.610598","2.268196","3.031632","3.133796","3.028206","3.983333","2.863481",
"40000000.000000","8.067614","2.396402","3.195078","3.303857","3.190933","4.193850","3.019079",
"42000000.000000","8.530557","2.524999","3.359270","3.474216","3.353928","4.404867","3.175276",
"44000000.000000","8.998568","2.654568","3.523331","3.645191","3.517504","4.615912","3.331599",
"46000000.000000","9.474073","2.785325","3.688400","3.816695","3.682422","4.827095","3.487927",
"48000000.000000","9.955080","2.917533","3.854136","3.988856","3.847760","5.038532","3.643877",
"50000000.000000","10.441912","3.049265","4.020696","4.161328","4.014470","5.250095","3.800681",
"52000000.000000","10.934594","3.182810","4.187866","4.334304","4.182730","5.461741","3.958219",
"54000000.000000","11.433997","3.318015","4.355560","4.508148","4.351448","5.673798","4.116105",
"56000000.000000","11.939824","3.453579","4.523956","4.682558","4.520210","5.885970","4.275534",
"58000000.000000","12.452881","3.590910","4.692794","4.857449","4.689849","6.098280","4.435365",
"60000000.000000","12.970918","3.729707","4.862370","5.032815","4.860359","6.310293","4.595574",
"62000000.000000","13.495476","3.869141","5.033174","5.208037","5.030501","6.523030","4.756388",
"64000000.000000","14.025843","4.010178","5.204091","5.382452","5.200925","6.736239","4.917905",
"66000000.000000","14.563452","4.153063","5.376867","5.557818","5.372161","6.949222","5.080098",
"68000000.000000","15.107273","4.297544","5.550115","5.733563","5.543623","7.162441","5.243130",
"70000000.000000","15.657337","4.444029","5.723951","5.910083","5.715988","7.375957","5.406533",
"72000000.000000","16.212627","4.591507","5.898548","6.088331","5.888815","7.589594","5.570777",
"74000000.000000","16.776051","4.740939","6.074042","6.266748","6.062777","7.803391","5.735420",
