"[count]","uHashT [sec]","cHashT [sec]","iHashT_u8h [sec]","iHashT_u8 [sec]","iHashT_u16 [sec]","dHashT [sec]","fHashT [sec]",
"0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",
"2000000.000000","0.413241","0.114112","0.170937","0.176165","0.171533","0.228563","0.160679",
"4000000.000000","0.836458","0.228738","0.342165","0.352752","0.342886","0.455466","0.321743",
"6000000.000000","1.260482","0.346029","0.515292","0.529663","0.514982","0.681775","0.483822",
"8000000.000000","1.690847","0.464225","0.688708","0.707100","0.687932","0.907468","0.645542",
"10000000.000000","2.122978","0.585632","0.863302","0.884976","0.860991","1.139188","0.808078",
"12000000.000000","2.556389","0.708347","1.038475","1.062684","1.035130","1.369552","0.971294",
"14000000.000000","2.991676","0.831912","1.213238","1.239993","1.209276","1.599299","1.133622",
"16000000.000000","3.431962","0.957287","1.385816","1.418033","1.384201","1.829411","1.297334",
"18000000.000000","3.880549","1.083201","1.558018","1.596742","1.558375","2.058534","1.461117",
"20000000.000000","4.335473","1.210020","1.732410","1.776148","1.733466","2.287005","1.624679",
"22000000.000000","4.799909","1.337190","1.907186","1.954906","1.908482","2.517927","1.788289",
"24000000.000000","5.258523","1.466099","2.082451","2.134356","2.083376","2.749495","1.950766",
"26000000.000000","5.732524","1.595896","2.259872","2.314618","2.258809","2.979363","2.115192",
"28000000.000000","6.203406","1.728634","2.438115","2.494638","2.434398","3.213206","2.279896",
"30000000.000000","6.689924","1.860065","2.615453","2.675412","2.610732","3.444547","2.452202",
"32000000.000000","7.184087","1.993729","2.793204","2.856652","2.785752","3.675957","2.618516",
"34000000.000000","7.681902","2.121229","2.972040","3.037714","2.960871","3.908108","2.789354",
"36000000.000000","8.180830","2.254905","3.150365","3.219652","3.136836","4.140331","2.956456",
"38000000.000000","8.687633","2.389634","3.329657","3.401884","3.312976","4.371971","3.124111",
"40000000.000000","9.203077","2.520037","3.510387","3.584315","3.490197","4.605166","3.293145",
"42000000.000000","9.726075","2.651687","3.688919","3.766829","3.668408","4.838146","3.462111",
"44000000.000000","10.254018","2.786673","3.866927","3.950251","3.846661","5.071668","3.630592",
"46000000.000000","10.802842","2.925272","4.049347","4.133945","4.027110","5.305566","3.800296",
"48000000.000000","11.352724","3.065147","4.231727","4.319252","4.209287","5.538528","3.969567",
"50000000.000000","11.906393","3.206249","4.413155","4.504266","4.391112","5.772287","4.140303",
