"[count]","fHashT",
"0.000000","0.000000",
"1000000.000000","0.072186",
"2000000.000000","0.142551",
"3000000.000000","0.283176",
"4000000.000000","0.189423",
"5000000.000000","0.564426",
"6000000.000000","0.376923",
"7000000.000000","0.376923",
"8000000.000000","0.376923",
"9000000.000000","1.126926",
"10000000.000000","0.751923",
"11000000.000000","0.751923",
"12000000.000000","0.751923",
"13000000.000000","0.751923",
"14000000.000000","0.751923",
"15000000.000000","0.751923",
"16000000.000000","0.751923",
"17000000.000000","2.251926",
"18000000.000000","1.501923",
"19000000.000000","1.501923",
"20000000.000000","1.501923",
"21000000.000000","1.501923",
"22000000.000000","1.501923",
"23000000.000000","1.501923",
"24000000.000000","1.501923",
"25000000.000000","1.501923",
"26000000.000000","1.501923",
"27000000.000000","1.501923",
"28000000.000000","1.501923",
"29000000.000000","1.501923",
"30000000.000000","1.501923",
"31000000.000000","1.501923",
"32000000.000000","1.501923",
"33000000.000000","1.501923",
"34000000.000000","4.501926",
"35000000.000000","3.001923",
"36000000.000000","3.001923",
"37000000.000000","3.001923",
"38000000.000000","3.001923",
"39000000.000000","3.001923",
"40000000.000000","3.001923",
"41000000.000000","3.001923",
"42000000.000000","3.001923",
"43000000.000000","3.001923",
"44000000.000000","3.001923",
"45000000.000000","3.001923",
"46000000.000000","3.001923",
"47000000.000000","3.001923",
"48000000.000000","3.001923",
"49000000.000000","3.001923",
"50000000.000000","3.001923",
"51000000.000000","3.001923",
"52000000.000000","3.001923",
"53000000.000000","3.001923",
"54000000.000000","3.001923",
"55000000.000000","3.001923",
"56000000.000000","3.001923",
"57000000.000000","3.001923",
"58000000.000000","3.001923",
"59000000.000000","3.001923",
"60000000.000000","3.001923",
"61000000.000000","3.001923",
"62000000.000000","3.001923",
"63000000.000000","3.001923",
"64000000.000000","3.001923",
"65000000.000000","3.001923",
"66000000.000000","3.001923",
"67000000.000000","3.001923",
"68000000.000000","9.001926",
"69000000.000000","6.001923",
"70000000.000000","6.001923",
"71000000.000000","6.001923",
"72000000.000000","6.001923",
"73000000.000000","6.001923",
"74000000.000000","6.001923",
"75000000.000000","6.001923",
"76000000.000000","6.001923",
"77000000.000000","6.001923",
"78000000.000000","6.001923",
"79000000.000000","6.001923",
"80000000.000000","6.001923",
"81000000.000000","6.001923",
"82000000.000000","6.001923",
"83000000.000000","6.001923",
"84000000.000000","6.001923",
"85000000.000000","6.001923",
"86000000.000000","6.001923",
"87000000.000000","6.001923",
"88000000.000000","6.001923",
"89000000.000000","6.001923",
"90000000.000000","6.001923",
"91000000.000000","6.001923",
"92000000.000000","6.001923",
"93000000.000000","6.001923",
"94000000.000000","6.001923",
"95000000.000000","6.001923",
"96000000.000000","6.001923",
"97000000.000000","6.001923",
"98000000.000000","6.001923",
"99000000.000000","6.001923",
"100000000.000000","6.001923",
"101000000.000000","6.001923",
"102000000.000000","6.001923",
"103000000.000000","6.001923",
"104000000.000000","6.001923",
"105000000.000000","6.001923",
"106000000.000000","6.001923",
"107000000.000000","6.001923",
"108000000.000000","6.001923",
"109000000.000000","6.001923",
"110000000.000000","6.001923",
"111000000.000000","6.001923",
"112000000.000000","6.001923",
"113000000.000000","6.001923",
"114000000.000000","6.001923",
"115000000.000000","6.001923",
"116000000.000000","6.001923",
"117000000.000000","6.001923",
"118000000.000000","6.001923",
"119000000.000000","6.001923",
"120000000.000000","6.001923",
"121000000.000000","6.001923",
"122000000.000000","6.001923",
"123000000.000000","6.001923",
"124000000.000000","6.001923",
"125000000.000000","6.001923",
"126000000.000000","6.001923",
"127000000.000000","6.001923",
"128000000.000000","6.001923",
"129000000.000000","6.001923",
"130000000.000000","6.001923",
"131000000.000000","6.001923",
"132000000.000000","6.001923",
"133000000.000000","6.001923",
"134000000.000000","6.001923",
"135000000.000000","18.001926",
"136000000.000000","12.001923",
"137000000.000000","12.001923",
"138000000.000000","12.001923",
"139000000.000000","12.001923",
"140000000.000000","12.001923",
"141000000.000000","12.001923",
"142000000.000000","12.001923",
"143000000.000000","12.001923",
"144000000.000000","12.001923",
"145000000.000000","12.001923",
"146000000.000000","12.001923",
"147000000.000000","12.001923",
"148000000.000000","12.001923",
"149000000.000000","12.001923",
"150000000.000000","12.001923",
"151000000.000000","12.001923",
"152000000.000000","12.001923",
"153000000.000000","12.001923",
"154000000.000000","12.001923",
"155000000.000000","12.001923",
"156000000.000000","12.001923",
"157000000.000000","12.001923",
"158000000.000000","12.001923",
"159000000.000000","12.001923",
"160000000.000000","12.001923",
"161000000.000000","12.001923",
"162000000.000000","12.001923",
"163000000.000000","12.001923",
"164000000.000000","12.001923",
"165000000.000000","12.001923",
"166000000.000000","12.001923",
"167000000.000000","12.001923",
"168000000.000000","12.001923",
"169000000.000000","12.001923",
"170000000.000000","12.001923",
"171000000.000000","12.001923",
"172000000.000000","12.001923",
"173000000.000000","12.001923",
"174000000.000000","12.001923",
"175000000.000000","12.001923",
"176000000.000000","12.001923",
"177000000.000000","12.001923",
"178000000.000000","12.001923",
"179000000.000000","12.001923",
"180000000.000000","12.001923",
"181000000.000000","12.001923",
"182000000.000000","12.001923",
"183000000.000000","12.001923",
"184000000.000000","12.001923",
"185000000.000000","12.001923",
"186000000.000000","12.001923",
"187000000.000000","12.001923",
"188000000.000000","12.001923",
"189000000.000000","12.001923",
"190000000.000000","12.001923",
"191000000.000000","12.001923",
"192000000.000000","12.001923",
"193000000.000000","12.001923",
"194000000.000000","12.001923",
"195000000.000000","12.001923",
"196000000.000000","12.001923",
"197000000.000000","12.001923",
"198000000.000000","12.001923",
"199000000.000000","12.001923",
"200000000.000000","12.001923",
