"[count]","cHashT",
"0.000000","0.000000",
"1000000.000000","0.062180",
"2000000.000000","0.122723",
"3000000.000000","0.243694",
"4000000.000000","0.190292",
"5000000.000000","0.485641",
"6000000.000000","0.360641",
"7000000.000000","0.360641",
"8000000.000000","0.378761",
"9000000.000000","0.969666",
"10000000.000000","0.719666",
"11000000.000000","0.719666",
"12000000.000000","0.719666",
"13000000.000000","0.719666",
"14000000.000000","0.719666",
"15000000.000000","0.728966",
"16000000.000000","0.755924",
"17000000.000000","1.937462",
"18000000.000000","1.437462",
"19000000.000000","1.437462",
"20000000.000000","1.437462",
"21000000.000000","1.437462",
"22000000.000000","1.437462",
"23000000.000000","1.437462",
"24000000.000000","1.437462",
"25000000.000000","1.437462",
"26000000.000000","1.437462",
"27000000.000000","1.437462",
"28000000.000000","1.437462",
"29000000.000000","1.437462",
"30000000.000000","1.456318",
"31000000.000000","1.482994",
"32000000.000000","1.510250",
"33000000.000000","1.537964",
"34000000.000000","3.873127",
"35000000.000000","2.873131",
"36000000.000000","2.873131",
"37000000.000000","2.873131",
"38000000.000000","2.873131",
"39000000.000000","2.873131",
"40000000.000000","2.873131",
"41000000.000000","2.873131",
"42000000.000000","2.873131",
"43000000.000000","2.873131",
"44000000.000000","2.873131",
"45000000.000000","2.873131",
"46000000.000000","2.873131",
"47000000.000000","2.873131",
"48000000.000000","2.873131",
"49000000.000000","2.873131",
"50000000.000000","2.873131",
"51000000.000000","2.873131",
"52000000.000000","2.873131",
"53000000.000000","2.873131",
"54000000.000000","2.873131",
"55000000.000000","2.873131",
"56000000.000000","2.873131",
"57000000.000000","2.873131",
"58000000.000000","2.873131",
"59000000.000000","2.884602",
"60000000.000000","2.910851",
"61000000.000000","2.937401",
"62000000.000000","2.964241",
"63000000.000000","2.991322",
"64000000.000000","3.018650",
"65000000.000000","3.046234",
"66000000.000000","3.074116",
"67000000.000000","3.102203",
"68000000.000000","7.744476",
"69000000.000000","5.744476",
"70000000.000000","5.744476",
"71000000.000000","5.744476",
"72000000.000000","5.744476",
"73000000.000000","5.744476",
"74000000.000000","5.744476",
"75000000.000000","5.744476",
"76000000.000000","5.744476",
"77000000.000000","5.744476",
"78000000.000000","5.744476",
"79000000.000000","5.744476",
"80000000.000000","5.744476",
"81000000.000000","5.744476",
"82000000.000000","5.744476",
"83000000.000000","5.744476",
"84000000.000000","5.744476",
"85000000.000000","5.744476",
"86000000.000000","5.744476",
"87000000.000000","5.744476",
"88000000.000000","5.744476",
"89000000.000000","5.744476",
"90000000.000000","5.744476",
"91000000.000000","5.744476",
"92000000.000000","5.744476",
"93000000.000000","5.744476",
"94000000.000000","5.744476",
"95000000.000000","5.744476",
"96000000.000000","5.744476",
"97000000.000000","5.744476",
"98000000.000000","5.744476",
"99000000.000000","5.744476",
